PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit,Sample
1,AMP,CLA,0,0,100,uM,ATCC 19977
1,AMP,CLA,0.25,0,100,uM,ATCC 19977
1,AMP,CLA,0.5,0,100,uM,ATCC 19977
1,AMP,CLA,1,0,100,uM,ATCC 19977
1,AMP,CLA,2,0,100,uM,ATCC 19977
1,AMP,CLA,4,0,100,uM,ATCC 19977
1,AMP,CLA,8,0,100,uM,ATCC 19977
1,AMP,CLA,16,0,100,uM,ATCC 19977
1,AMP,CLA,32,0,100,uM,ATCC 19977
1,AMP,CLA,64,0,100,uM,ATCC 19977
1,AMP,CLA,128,0,0,uM,ATCC 19977
1,AMP,CLA,0,0.06,100,uM,ATCC 19977
1,AMP,CLA,0.25,0.06,100,uM,ATCC 19977
1,AMP,CLA,0.5,0.06,96.35761589,uM,ATCC 19977
1,AMP,CLA,1,0.06,100,uM,ATCC 19977
1,AMP,CLA,2,0.06,97.35099338,uM,ATCC 19977
1,AMP,CLA,4,0.06,75.49668874,uM,ATCC 19977
1,AMP,CLA,8,0.06,100,uM,ATCC 19977
1,AMP,CLA,16,0.06,76.68874172,uM,ATCC 19977
1,AMP,CLA,32,0.06,62.58278146,uM,ATCC 19977
1,AMP,CLA,64,0.06,69.33774834,uM,ATCC 19977
1,AMP,CLA,128,0.06,37.35099338,uM,ATCC 19977
1,AMP,CLA,0,0.13,100,uM,ATCC 19977
1,AMP,CLA,0.25,0.13,100,uM,ATCC 19977
1,AMP,CLA,0.5,0.13,100,uM,ATCC 19977
1,AMP,CLA,1,0.13,100,uM,ATCC 19977
1,AMP,CLA,2,0.13,100,uM,ATCC 19977
1,AMP,CLA,4,0.13,74.70198675,uM,ATCC 19977
1,AMP,CLA,8,0.13,95.56291391,uM,ATCC 19977
1,AMP,CLA,16,0.13,66.1589404,uM,ATCC 19977
1,AMP,CLA,32,0.13,61.98675497,uM,ATCC 19977
1,AMP,CLA,64,0.13,75.69536424,uM,ATCC 19977
1,AMP,CLA,128,0.13,46.09271523,uM,ATCC 19977
1,AMP,CLA,0,0.25,100,uM,ATCC 19977
1,AMP,CLA,0.25,0.25,86.42384106,uM,ATCC 19977
1,AMP,CLA,0.5,0.25,83.8410596,uM,ATCC 19977
1,AMP,CLA,1,0.25,100,uM,ATCC 19977
1,AMP,CLA,2,0.25,100,uM,ATCC 19977
1,AMP,CLA,4,0.25,65.7615894,uM,ATCC 19977
1,AMP,CLA,8,0.25,91.19205298,uM,ATCC 19977
1,AMP,CLA,16,0.25,57.41721854,uM,ATCC 19977
1,AMP,CLA,32,0.25,46.68874172,uM,ATCC 19977
1,AMP,CLA,64,0.25,62.18543046,uM,ATCC 19977
1,AMP,CLA,128,0.25,31.39072848,uM,ATCC 19977
1,AMP,CLA,0,0.5,52.84768212,uM,ATCC 19977
1,AMP,CLA,0.25,0.5,44.30463576,uM,ATCC 19977
1,AMP,CLA,0.5,0.5,69.73509934,uM,ATCC 19977
1,AMP,CLA,1,0.5,53.8410596,uM,ATCC 19977
1,AMP,CLA,2,0.5,61.78807947,uM,ATCC 19977
1,AMP,CLA,4,0.5,51.45695364,uM,ATCC 19977
1,AMP,CLA,8,0.5,62.38410596,uM,ATCC 19977
1,AMP,CLA,16,0.5,37.74834437,uM,ATCC 19977
1,AMP,CLA,32,0.5,37.35099338,uM,ATCC 19977
1,AMP,CLA,64,0.5,56.42384106,uM,ATCC 19977
1,AMP,CLA,128,0.5,34.37086093,uM,ATCC 19977
