PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit,Sample
1,DXR,FOS,0.0,0.0,100.0,ug/mL,SA
1,DXR,FOS,0.5,0.0,79.55005787037038,ug/mL,SA
1,DXR,FOS,1.0,0.0,80.30226335960663,ug/mL,SA
1,DXR,FOS,2.0,0.0,71.85447195553309,ug/mL,SA
1,DXR,FOS,4.0,0.0,61.96695288260335,ug/mL,SA
1,DXR,FOS,8.0,0.0,17.555764094419985,ug/mL,SA
1,DXR,FOS,16.0,0.0,19.39932134863909,ug/mL,SA
1,DXR,FOS,32.0,0.0,0.4124457308248918,ug/mL,SA
1,DXR,FOS,0.0,0.0312,88.04135637336418,ug/mL,SA
1,DXR,FOS,0.5,0.0312,86.56922629435718,ug/mL,SA
1,DXR,FOS,1.0,0.0312,53.83280300838877,ug/mL,SA
1,DXR,FOS,2.0,0.0312,80.7478524507327,ug/mL,SA
1,DXR,FOS,4.0,0.0312,78.11981832600388,ug/mL,SA
1,DXR,FOS,8.0,0.0312,37.309442959323746,ug/mL,SA
1,DXR,FOS,16.0,0.0312,33.138105567606644,ug/mL,SA
1,DXR,FOS,32.0,0.0312,0.10831106939129188,ug/mL,SA
1,DXR,FOS,0.0,0.0625,88.7958648806057,ug/mL,SA
1,DXR,FOS,0.5,0.0625,86.78459176960749,ug/mL,SA
1,DXR,FOS,1.0,0.0625,85.49770743972786,ug/mL,SA
1,DXR,FOS,2.0,0.0625,80.88384203674238,ug/mL,SA
1,DXR,FOS,4.0,0.0625,80.73041457924924,ug/mL,SA
1,DXR,FOS,8.0,0.0625,43.467264055499356,ug/mL,SA
1,DXR,FOS,16.0,0.0625,34.565138939011185,ug/mL,SA
1,DXR,FOS,32.0,0.0625,-0.06499602802050972,ug/mL,SA
1,DXR,FOS,0.0,0.125,87.56280492244957,ug/mL,SA
1,DXR,FOS,0.5,0.125,83.79242677520169,ug/mL,SA
1,DXR,FOS,1.0,0.125,81.50719606566862,ug/mL,SA
1,DXR,FOS,2.0,0.125,79.19229934139103,ug/mL,SA
1,DXR,FOS,4.0,0.125,77.7536860364267,ug/mL,SA
1,DXR,FOS,8.0,0.125,36.197559390569715,ug/mL,SA
1,DXR,FOS,16.0,0.125,35.69517749981924,ug/mL,SA
1,DXR,FOS,32.0,0.125,-0.17400130500978753,ug/mL,SA
1,DXR,FOS,0.0,0.25,75.43438749545619,ug/mL,SA
1,DXR,FOS,0.5,0.25,64.19896734782924,ug/mL,SA
1,DXR,FOS,1.0,0.25,62.12331265961327,ug/mL,SA
1,DXR,FOS,2.0,0.25,45.14938869999277,ug/mL,SA
1,DXR,FOS,4.0,0.25,29.752782998409717,ug/mL,SA
1,DXR,FOS,8.0,0.25,9.346131639722865,ug/mL,SA
1,DXR,FOS,16.0,0.25,12.494570725351094,ug/mL,SA
1,DXR,FOS,32.0,0.25,0.31227305737109645,ug/mL,SA
1,DXR,FOS,0.0,0.5,47.94441227562247,ug/mL,SA
1,DXR,FOS,0.5,0.5,29.422435060223485,ug/mL,SA
1,DXR,FOS,1.0,0.5,36.747814780033224,ug/mL,SA
1,DXR,FOS,2.0,0.5,19.136116152450096,ug/mL,SA
1,DXR,FOS,4.0,0.5,24.920497253541484,ug/mL,SA
1,DXR,FOS,8.0,0.5,13.45764671870483,ug/mL,SA
1,DXR,FOS,16.0,0.5,7.728065078442765,ug/mL,SA
1,DXR,FOS,32.0,0.5,-0.22575007282260354,ug/mL,SA
1,DXR,FOS,0.0,1.0,35.803910125474175,ug/mL,SA
1,DXR,FOS,0.5,1.0,20.014482259232437,ug/mL,SA
1,DXR,FOS,1.0,1.0,15.190920024052918,ug/mL,SA
1,DXR,FOS,2.0,1.0,17.038923244816296,ug/mL,SA
1,DXR,FOS,4.0,1.0,24.185372918175233,ug/mL,SA
1,DXR,FOS,8.0,1.0,6.918558271085646,ug/mL,SA
1,DXR,FOS,16.0,1.0,1.8985507246376807,ug/mL,SA
1,DXR,FOS,32.0,1.0,-0.39190071848465013,ug/mL,SA
1,DXR,FOS,0.0,2.0,18.27972745256063,ug/mL,SA
1,DXR,FOS,0.5,2.0,14.680232558139533,ug/mL,SA
1,DXR,FOS,1.0,2.0,12.245343422584401,ug/mL,SA
1,DXR,FOS,2.0,2.0,19.58725561187545,ug/mL,SA
1,DXR,FOS,4.0,2.0,11.417208966015908,ug/mL,SA
