PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit,Sample
1,A22,DXR,0.0,0.0,99.99999999999999,ug/mL,PS_ATCC
1,A22,DXR,0.5,0.0,103.52833007700264,ug/mL,PS_ATCC
1,A22,DXR,1.0,0.0,103.55688141816304,ug/mL,PS_ATCC
1,A22,DXR,2.0,0.0,102.47359963269054,ug/mL,PS_ATCC
1,A22,DXR,4.0,0.0,102.81285878300804,ug/mL,PS_ATCC
1,A22,DXR,8.0,0.0,102.41847670353602,ug/mL,PS_ATCC
1,A22,DXR,16.0,0.0,97.36524883760978,ug/mL,PS_ATCC
1,A22,DXR,32.0,0.0,90.18133823023068,ug/mL,PS_ATCC
1,A22,DXR,0.0,0.0312,104.23353465631293,ug/mL,PS_ATCC
1,A22,DXR,0.5,0.0312,104.97763504989103,ug/mL,PS_ATCC
1,A22,DXR,1.0,0.0312,102.0160827110856,ug/mL,PS_ATCC
1,A22,DXR,2.0,0.0312,105.06888633754305,ug/mL,PS_ATCC
1,A22,DXR,4.0,0.0312,103.34823988074761,ug/mL,PS_ATCC
1,A22,DXR,8.0,0.0312,102.9346019372958,ug/mL,PS_ATCC
1,A22,DXR,16.0,0.0312,98.18286041845802,ug/mL,PS_ATCC
1,A22,DXR,32.0,0.0312,90.90440165061898,ug/mL,PS_ATCC
1,A22,DXR,0.0,0.0625,103.76060536574181,ug/mL,PS_ATCC
1,A22,DXR,0.5,0.0625,104.40381740830172,ug/mL,PS_ATCC
1,A22,DXR,1.0,0.0625,104.50341777241657,ug/mL,PS_ATCC
1,A22,DXR,2.0,0.0625,104.26423324150595,ug/mL,PS_ATCC
1,A22,DXR,4.0,0.0625,101.95561163044103,ug/mL,PS_ATCC
1,A22,DXR,8.0,0.0625,102.40142136634572,ug/mL,PS_ATCC
1,A22,DXR,16.0,0.0625,100.46410359250557,ug/mL,PS_ATCC
1,A22,DXR,32.0,0.0625,90.49259386841199,ug/mL,PS_ATCC
1,A22,DXR,0.0,0.125,103.32012177609285,ug/mL,PS_ATCC
1,A22,DXR,0.5,0.125,103.87921155168462,ug/mL,PS_ATCC
1,A22,DXR,1.0,0.125,103.84924738595886,ug/mL,PS_ATCC
1,A22,DXR,2.0,0.125,103.11404768744615,ug/mL,PS_ATCC
1,A22,DXR,4.0,0.125,102.47777459133927,ug/mL,PS_ATCC
1,A22,DXR,8.0,0.125,101.22190201729109,ug/mL,PS_ATCC
1,A22,DXR,16.0,0.125,97.50848725473273,ug/mL,PS_ATCC
1,A22,DXR,32.0,0.125,88.77480784673627,ug/mL,PS_ATCC
1,A22,DXR,0.0,0.25,104.32357845110101,ug/mL,PS_ATCC
1,A22,DXR,0.5,0.25,105.36554573625617,ug/mL,PS_ATCC
1,A22,DXR,1.0,0.25,103.52691136768337,ug/mL,PS_ATCC
1,A22,DXR,2.0,0.25,104.95032447022339,ug/mL,PS_ATCC
1,A22,DXR,4.0,0.25,99.94762874599942,ug/mL,PS_ATCC
1,A22,DXR,8.0,0.25,100.7115803971078,ug/mL,PS_ATCC
1,A22,DXR,16.0,0.25,99.53568357695615,ug/mL,PS_ATCC
1,A22,DXR,32.0,0.25,85.8567335243553,ug/mL,PS_ATCC
1,A22,DXR,0.0,0.5,103.50353224972719,ug/mL,PS_ATCC
1,A22,DXR,0.5,0.5,104.17694646852947,ug/mL,PS_ATCC
1,A22,DXR,1.0,0.5,104.41488446763371,ug/mL,PS_ATCC
1,A22,DXR,2.0,0.5,99.06483075157776,ug/mL,PS_ATCC
1,A22,DXR,4.0,0.5,102.53048079135037,ug/mL,PS_ATCC
1,A22,DXR,8.0,0.5,100.13766203969257,ug/mL,PS_ATCC
1,A22,DXR,16.0,0.5,97.97968202950123,ug/mL,PS_ATCC
1,A22,DXR,32.0,0.5,86.37119431225273,ug/mL,PS_ATCC
1,A22,DXR,0.0,1.0,104.05218990688584,ug/mL,PS_ATCC
1,A22,DXR,0.5,1.0,101.7587217656187,ug/mL,PS_ATCC
1,A22,DXR,1.0,1.0,103.73831775700934,ug/mL,PS_ATCC
1,A22,DXR,2.0,1.0,103.15886028779452,ug/mL,PS_ATCC
