Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession
397671779	RVBD_0001	WP_003400253.1	chromosomal replication initiator protein dnaA	1 to 1	RBB	WP_005685692.1	1 to 1	RBB	WP_005839492.1	1 to 1	RBB	WP_012738285.1	1 to 1	RBB	WP_012740936.1
397671780	RVBD_0002	WP_003400271.1	DNA polymerase III subunit beta	1 to 1	RBB	WP_014568868.1	1 to 1	RBB	WP_005843451.1	1 to 1	RBB	WP_012738286.1	1 to 1	RBB	WP_012740937.1
397671781	RVBD_0003	WP_003912365.1	DNA replication and repair protein RecF	1 to 1	RBB	WP_014568870.1	1 to 1	RBB	WP_005847371.1	1 to 1	RBB	WP_012738288.1	1 to 1	RBB	WP_012740939.1
397671782	RVBD_0004	WP_003899769.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
561108322	RVBD_0005	WP_003917863.1	DNA gyrase subunit B	1 to 1	SSD	WP_005690389.1	1 to 1	RBB	WP_005838938.1	1 to 1	RBB	WP_012738289.1	1 to 1	RBB	WP_012740940.1
397671784	RVBD_0006	WP_003917265.1	DNA gyrase subunit A	1 to 1	SSD	WP_014568871.1	1 to 1	RBB	WP_005844612.1	1 to 1	RBB	WP_012738290.1	1 to 1	RBB	WP_012740941.1
397671785	RVBD_0007	WP_003400291.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671786	RVBD_0007Ac	YP_006513320	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671787	RVBD_0007Bc	YP_006513321	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671788	RVBD_0008c	WP_003917266.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671789	RVBD_0009	WP_003400321.1	peptidyl-prolyl cis-trans isomerase A	1 to 1	SSD	WP_005685568.1	1 to 1	RBB	WP_005840090.1	1 to 2	RBB	WP_012739339.1;WP_041688281.1	1 to 1	RBB	WP_012743691.1
397671790	RVBD_0010c	WP_003899772.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671791	RVBD_0011c	WP_003400344.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671792	RVBD_0012	WP_003917864.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671793	RVBD_0013	WP_003899773.1	anthranilate synthase component 2	0	N/A		1 to 1	RBB	WP_005839785.1	1 to 1	RBB	WP_012739537.1	1 to 1	SSD	WP_012743734.1
397671794	RVBD_0014c	WP_003400356.1	serine/threonine-protein kinase pknB	1 to 1	RBB	WP_005684373.1	0	N/A		1 to 1	RBB	WP_041688506.1	1 to 1	RBB	WP_012743168.1
397671795	RVBD_0015c	WP_003400358.1	serine/threonine protein kinase	0	N/A		0	N/A		0	N/A		0	N/A	
397671796	RVBD_0016c	WP_003899775.1	penicillin-binding protein A	1 to 1	RBB	WP_014569046.1	1 to 1	RBB	WP_011965353.1	1 to 1	RBB	WP_041688577.1	1 to 1	RBB	WP_012742503.1
397671797	RVBD_0017c	WP_003400364.1	cell division protein FtsW	1 to 1	RBB	WP_005715717.1	1 to 1	RBB	WP_011965354.1	1 to 1	RBB	WP_012739183.1	1 to 1	RBB	WP_012742502.1
397671798	RVBD_0018c	WP_003912367.1	PP2C-family Ser/Thr phosphatase	1 to 1	RBB	WP_005684374.1	0	N/A		1 to 1	RBB	WP_012738964.1	1 to 1	RBB	WP_012743169.1
397671799	RVBD_0019c	WP_003400373.1	hypothetical protein	0	N/A		0	N/A		0	N/A		2 to 1	Borderline-SSD	WP_012740979.1
397671800	RVBD_0020c	WP_003912368.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671801	RVBD_0021c	WP_003899778.1	nitronate monooxygenase	0	N/A		0	N/A		0	N/A		0	N/A	
397671802	RVBD_0022c	WP_003400388.1	transcriptional regulator whib-like whiB5	0	N/A		0	N/A		0	N/A		0	N/A	
397671803	RVBD_0023	WP_003400391.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397671804	RVBD_0024	WP_003400393.1	secreted protein	1 to 1	RBB	WP_005687638.1	0	N/A		0	N/A		0	N/A	
397671805	RVBD_0025	WP_003400395.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671806	RVBD_0026	WP_003901770.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671807	RVBD_0027	WP_003400401.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671808	RVBD_0028	WP_003400405.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671809	RVBD_0029	WP_003400411.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671810	RVBD_0030	WP_003400413.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671811	RVBD_0031	WP_003900791.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A	
397671812	RVBD_0032	WP_003905217.1	8-amino-7-oxononanoate synthase	0	N/A		1 to 1	RBB	WP_005842272.1	0	N/A		0	N/A	
397671813	RVBD_0033	WP_003400418.1	acyl carrier protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671814	RVBD_0034	WP_003400421.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671815	RVBD_0035	WP_003400425.1	fatty-acid-CoA ligase FadD34	0	N/A		0	N/A		0	N/A		0	N/A	
397671816	RVBD_0036c	WP_003400427.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671817	RVBD_0037c	WP_003912503.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671818	RVBD_0038	WP_003901777.1	transcriptional regulator	0	N/A		1 to 1	RBB	WP_005846781.1	0	N/A		0	N/A	
397671819	RVBD_0039c	WP_003907179.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671820	RVBD_0040c	WP_003900793.1	secreted proline rich protein mtc28	0	N/A		0	N/A		0	N/A		0	N/A	
397671821	RVBD_0041	WP_003900794.1	leucyl-tRNA synthetase	1 to 1	RBB	WP_014569327.1	1 to 1	RBB	WP_005849960.1	1 to 1	RBB	WP_041688000.1	1 to 1	RBB	WP_012742837.1
397671822	RVBD_0042c	WP_003912416.1	MarR family transcriptional regulator	0	N/A		0	N/A		1 to 1	RBB	WP_012738336.1	0	N/A	
397671823	RVBD_0043c	WP_003899786.1	GntR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397671824	RVBD_0044c	WP_003400486.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671825	RVBD_0045c	WP_003400489.1	hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
397671826	RVBD_0046c	WP_003902822.1	inositol-3-phosphate synthase	0	N/A		1 to 1	RBB	WP_005847351.1	0	N/A		0	N/A	
397671827	RVBD_0047c	WP_003899787.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	WP_012738616.1	0	N/A	
397671828	RVBD_0048c	WP_003907183.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671829	RVBD_0049	WP_003400504.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671830	RVBD_0050	WP_003400507.1	peptidoglycan glycosyltransferase	1 to 2	RBB	WP_015764954.1;WP_005685469.1	2 to 1	RBB	WP_005852552.1	2 to 2	RBB	WP_041688727.1;WP_041688827.1	2 to 2	RBB	WP_012741606.1;WP_012743905.1
397671831	RVBD_0051	WP_003400514.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
561108323	RVBD_0052	WP_003912418.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	WP_041688177.1	0	N/A	
397671833	RVBD_0053	WP_003400520.1	30S ribosomal protein S6	1 to 1	RBB	WP_005685677.1	1 to 1	RBB	WP_005841177.1	0	N/A		1 to 1	RBB	WP_015515858.1
397671834	RVBD_0054	WP_003400534.1	single-stranded DNA-binding protein	1 to 3	RBB	WP_005690380.1;WP_005709832.1;WP_014569470.1	1 to 2	RBB	WP_041174560.1;WP_005839754.1	1 to 1	RBB	WP_012740176.1	1 to 2	RBB	WP_012742882.1;WP_012744018.1
397671835	RVBD_0055	WP_003400540.1	30S ribosomal protein S18 1	1 to 1	RBB	WP_003568467.1	2 to 1	RBB	WP_005841178.1	1 to 1	RBB	WP_012740175.1	1 to 1	RBB	WP_012744017.1
397671836	RVBD_0056	WP_003400543.1	50S ribosomal protein L9	1 to 1	RBB	WP_005687035.1	1 to 1	RBB	WP_005841179.1	1 to 1	RBB	WP_012740172.1	1 to 1	RBB	WP_012744013.1
397671837	RVBD_0057	WP_003900797.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671838	RVBD_0058	WP_003916208.1	replicative DNA helicase	1 to 1	RBB	WP_005687037.1	1 to 1	RBB	WP_005839941.1	1 to 1	RBB	WP_012740171.1	1 to 1	RBB	WP_041254280.1
397671839	RVBD_0059	WP_003400548.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671840	RVBD_0060	WP_003400551.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671841	RVBD_0061Ac	YP_006513375	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671842	RVBD_0062	WP_015456091.1	endoglucanase	0	N/A		0	N/A		0	N/A		0	N/A	
397671843	RVBD_0063	WP_003901784.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671844	RVBD_0064	WP_009937016.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671845	RVBD_0064A	WP_003400577.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A	
397671846	RVBD_0065	WP_003400580.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A	
397671847	RVBD_0066c	WP_003899797.1	isocitrate dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
397671848	RVBD_0067c	WP_003400591.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397671849	RVBD_0068	WP_003912371.1	oxidoreductase	3 to 1	RBB	WP_014569538.1	3 to 1	RBB	WP_005845883.1	0	N/A		0	N/A	
397671850	RVBD_0069c	WP_003400600.1	L-serine dehydratase	1 to 1	RBB	WP_014569535.1	1 to 1	RBB	WP_032934729.1	0	N/A		0	N/A	
397671851	RVBD_0070c	WP_003899799.1	serine hydroxymethyltransferase 2	2 to 1	RBB	WP_005684912.1	2 to 1	RBB	WP_005841993.1	2 to 1	RBB	WP_022097500.1	2 to 1	SSD	WP_012741982.1
397671852	RVBD_0071	WP_003913073.1	RNA-directed DNA polymerase	0	N/A		1 to 3	RBB	WP_004316241.1;WP_007845654.1;WP_012055653.1	0	N/A		1 to 13	RBB	WP_012741696.1;WP_012742422.1;WP_012742448.1;WP_012743033.1;WP_012743282.1;WP_012743451.1;WP_012743605.1
397671853	RVBD_0072	WP_003400616.1	ABC transporter permease	2 to 2	RBB	WP_014569120.1;WP_005714589.1	0	N/A		0	N/A		0	N/A	
397671854	RVBD_0073	WP_003899801.1	ABC transporter ATP-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671855	RVBD_0074	WP_003400620.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671856	RVBD_0075	WP_003400622.1	cystathionine beta-lyase	2 to 2	RBB	WP_014569021.1;WP_014569332.1	2 to 1	RBB	WP_005842558.1	0	N/A		2 to 1	RBB	WP_012743157.1
397671857	RVBD_0076c	WP_003400629.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
397671858	RVBD_0077c	WP_003900801.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397671859	RVBD_0078	WP_003899803.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
