Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession
16127995	b0001	NP_414542.1	thr operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16127996	b0002	NP_414543.1	fused aspartokinase I and homoserine dehydrogenase I	1 to 3	RBB	WP_003419828.1	1 to 1	SSD	YP_005235635	1 to 1	SSD	NP_459007.1	1 to 3	RBB	NP_249595.1	1 to 3	Non-SSD	YP_001084174	1 to 1	RBB	YP_002385500	1 to 3	Non-SSD	WP_003085971.1
16127997	b0003	NP_414544.1	homoserine kinase	0	N/A		1 to 1	SSD	YP_005235636	1 to 1	SSD	NP_459008.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385501	0	N/A	
16127998	b0004	NP_414545.1	threonine synthase	0	N/A		1 to 1	SSD	YP_005235637	1 to 1	SSD	NP_459009.1	1 to 1	SSD	NP_252424.1	0	N/A		1 to 1	RBB	YP_002385502	1 to 1	Borderline-SSD	WP_003092622.1
16127999	b0005	NP_414546.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385503	0	N/A	
16128000	b0006	NP_414547.1	conserved protein, UPF0246 family	0	N/A		1 to 1	SSD	YP_005235638	1 to 1	SSD	NP_459010.1	1 to 1	SSD	NP_252229.1	1 to 1	SSD	YP_001085292	1 to 1	RBB	YP_002385504	1 to 1	SSD	WP_003138105.1
16128001	b0007	NP_414548.1	predicted transporter	0	N/A		1 to 1	SSD	YP_005235639	1 to 1	SSD	NP_459011.1	1 to 1	RBB	NP_252331.1	1 to 1	RBB	YP_001085807	1 to 1	RBB	YP_002385505	1 to 1	RBB	WP_003138024.1
16128002	b0008	NP_414549.1	transaldolase B	1 to 2	RBB	WP_003912809.1	1 to 1	Borderline-SSD	YP_005235640	1 to 1	Borderline-SSD	NP_459012.1	1 to 2	RBB	NP_251486.1	1 to 2	RBB	YP_001085094	1 to 1	RBB	YP_002385506	1 to 2	RBB	WP_003090868.1
16128003	b0009	NP_414550.1	molybdochelatase incorporating molybdenum into molybdopterin	1 to 1	RBB	WP_003404549.1	1 to 1	SSD	YP_005235641	1 to 1	SSD	NP_459013.1	0	N/A		1 to 1	Non-SSD	YP_001085025	1 to 1	RBB	YP_002385507	0	N/A	
16128004	b0010	NP_414551.1	inner membrane protein, Grp1_Fun34_YaaH family	0	N/A		1 to 1	SSD	YP_005235642	1 to 1	SSD	NP_459014.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385508	0	N/A	
16128005	b0011	NP_414552.1	conserved protein, UPF0174 family	0	N/A		1 to 1	SSD	YP_005235643	1 to 1	SSD	NP_459015.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385509	2 to 1	RBB	WP_016254330.1;WP_003137196.1
16128007	b0013	NP_414554.1	conserved protein, UPF0412 family	0	N/A		1 to 1	SSD	YP_005235644	1 to 1	SSD	NP_459016.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385510	0	N/A	
16128008	b0014	NP_414555.1	chaperone Hsp70, co-chaperone with DnaJ	1 to 1	RBB	WP_003401814.1	1 to 1	Borderline-SSD	YP_005235646	1 to 1	Borderline-SSD	NP_459017.1	1 to 1	SSD	NP_253449.1	1 to 1	SSD	YP_001085965	1 to 1	RBB	YP_002385511	1 to 1	SSD	WP_003095212.1
16128009	b0015	NP_414556.1	chaperone Hsp40, co-chaperone with DnaK	1 to 1	RBB	WP_003401821.1	1 to 1	Borderline-SSD	YP_005235647	1 to 1	Borderline-SSD	NP_459018.1	1 to 1	SSD	NP_253448.1	1 to 1	SSD	YP_001086434	1 to 1	RBB	YP_002385512	1 to 1	SSD	WP_003095211.1
16128010	b0016	NP_414557.1	IS186 transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128012	b0018	NP_414559.1	regulatory protein for HokC, overlaps CDS of hokC	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385513	0	N/A	
16128013	b0019	NP_414560.1	sodium-proton antiporter	0	N/A		1 to 1	SSD	YP_005235681	1 to 1	SSD	NP_459044.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385514	0	N/A	
