Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Mycobacterium intracellulare ATCC 13950 - ortholog count (reference : comparison)	Mycobacterium intracellulare ATCC 13950 - ortholuge status	Mycobacterium intracellulare ATCC 13950 - ortholog NCBI RefSeq accession	Mycobacterium abscessus ATCC 19977 - ortholog count (reference : comparison)	Mycobacterium abscessus ATCC 19977 - ortholuge status	Mycobacterium abscessus ATCC 19977 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus N315 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus N315 - ortholuge status	Staphylococcus aureus subsp. aureus N315 - ortholog NCBI RefSeq accession	Mycobacterium marinum M - ortholog count (reference : comparison)	Mycobacterium marinum M - ortholuge status	Mycobacterium marinum M - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Mycobacterium avium 104 - ortholog count (reference : comparison)	Mycobacterium avium 104 - ortholuge status	Mycobacterium avium 104 - ortholog NCBI RefSeq accession	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog count (reference : comparison)	Mycobacterium avium subsp. paratuberculosis K-10 - ortholuge status	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog NCBI RefSeq accession	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog count (reference : comparison)	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholuge status	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog NCBI RefSeq accession	Enterococcus faecium Aus0004 - ortholog count (reference : comparison)	Enterococcus faecium Aus0004 - ortholuge status	Enterococcus faecium Aus0004 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholuge status	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog NCBI RefSeq accession	Acinetobacter baumannii AYE - ortholog count (reference : comparison)	Acinetobacter baumannii AYE - ortholuge status	Acinetobacter baumannii AYE - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholuge status	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog NCBI RefSeq accession	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholog count (reference : comparison)	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholuge status	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholog NCBI RefSeq accession
16127995	b0001	NP_414542.1	thr operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16127996	b0002	NP_414543.1	fused aspartokinase I and homoserine dehydrogenase I	1 to 3	RBB	WP_003419828.1	1 to 1	SSD	YP_005235635	1 to 2	RBB	WP_008263260.1	1 to 3	Borderline-SSD	YP_001701096	1 to 1	SSD	NP_459007.1	1 to 3	RBB	NP_249595.1	1 to 3	Non-SSD	YP_001084174	1 to 1	RBB	YP_002385500	1 to 3	SSD	WP_000868645.1	1 to 2	RBB	WP_012396734.1	1 to 3	Non-SSD	WP_003085971.1	2 to 1	RBB	WP_011723526.1	2 to 1	SSD	WP_003877007.1	2 to 1	SSD	YP_890476.1	1 to 2	RBB	WP_002286872.1	1 to 1	SSD	WP_002887848.1	1 to 3	SSD	YP_001575163	1 to 3	Non-SSD	WP_001185176.1	1 to 3	RBB	YP_499849.1	1 to 1	SSD	YP_003611327
16127997	b0003	NP_414544.1	homoserine kinase	0	N/A		1 to 1	SSD	YP_005235636	0	N/A		0	N/A		1 to 1	SSD	NP_459008.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385501	1 to 1	SSD	WP_000073180.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002887853.1	1 to 1	SSD	YP_001575167	0	N/A		1 to 1	RBB	YP_499852.1	1 to 1	SSD	YP_003611328
16127998	b0004	NP_414545.1	threonine synthase	0	N/A		1 to 1	SSD	YP_005235637	0	N/A		0	N/A		1 to 1	SSD	NP_459009.1	1 to 1	SSD	NP_252424.1	0	N/A		1 to 1	RBB	YP_002385502	0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_003092622.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002887863.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611329
16127999	b0005	NP_414546.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385503	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003611330
16128000	b0006	NP_414547.1	"conserved protein, UPF0246 family"	0	N/A		1 to 1	SSD	YP_005235638	0	N/A		0	N/A		1 to 1	SSD	NP_459010.1	1 to 1	SSD	NP_252229.1	1 to 1	SSD	YP_001085292	1 to 1	RBB	YP_002385504	0	N/A		0	N/A		1 to 1	SSD	WP_003138105.1	0	N/A		0	N/A		1 to 1	RBB	YP_887804.1	0	N/A		1 to 1	SSD	WP_002887869.1	0	N/A		1 to 1	SSD	WP_000880401.1	0	N/A		1 to 1	SSD	YP_003611331
16128001	b0007	NP_414548.1	predicted transporter	0	N/A		1 to 1	SSD	YP_005235639	0	N/A		0	N/A		1 to 1	SSD	NP_459011.1	1 to 1	RBB	NP_252331.1	1 to 1	RBB	YP_001085807	1 to 1	RBB	YP_002385505	1 to 1	SSD	WP_000651160.1	0	N/A		1 to 1	RBB	WP_003138024.1	0	N/A		0	N/A		1 to 2	RBB	YP_885449.1;YP_886678.1	0	N/A		1 to 1	SSD	WP_002887871.1	1 to 1	SSD	YP_001575181	1 to 1	RBB	WP_001005337.1	1 to 1	RBB	YP_499882.1	1 to 1	SSD	YP_003611332
16128002	b0008	NP_414549.1	transaldolase B	1 to 2	RBB	WP_003912809.1	1 to 1	Borderline-SSD	YP_005235640	1 to 2	RBB	WP_041787075.1	1 to 2	RBB	YP_001703493	1 to 1	Borderline-SSD	NP_459012.1	1 to 2	RBB	NP_251486.1	1 to 2	RBB	YP_001085094	1 to 1	RBB	YP_002385506	0	N/A		1 to 2	RBB	WP_012394009.1	1 to 2	RBB	WP_003090868.1	2 to 1	RBB	WP_003876069.1	2 to 1	RBB	WP_003876069.1	2 to 2	RBB	YP_887417.1;YP_888690.1	0	N/A		1 to 1	SSD	WP_002887897.1	0	N/A		1 to 2	RBB	WP_000149843.1	0	N/A		1 to 1	SSD	YP_003611333
16128003	b0009	NP_414550.1	molybdochelatase incorporating molybdenum into molybdopterin	1 to 1	RBB	WP_003404549.1	1 to 1	SSD	YP_005235641	2 to 1	RBB	WP_009951770.1;WP_008254072.1	1 to 1	SSD	YP_001701613	1 to 1	SSD	NP_459013.1	0	N/A		1 to 1	Non-SSD	YP_001085025	1 to 1	RBB	YP_002385507	0	N/A		2 to 1	RBB	WP_012396077.1;WP_012396206.1	0	N/A		1 to 2	RBB	WP_011723883.1;WP_023861834.1	1 to 2	RBB	WP_003872920.1;WP_003872808.1	1 to 2	RBB	YP_889723.1;YP_889935.1	0	N/A		1 to 1	Borderline-SSD	WP_002887898.1	0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	YP_003611334
16128004	b0010	NP_414551.1	"inner membrane protein, Grp1_Fun34_YaaH family"	0	N/A		1 to 1	SSD	YP_005235642	0	N/A		0	N/A		1 to 1	SSD	NP_459014.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385508	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004177461.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611336
16128005	b0011	NP_414552.1	"conserved protein, UPF0174 family"	0	N/A		1 to 1	SSD	YP_005235643	0	N/A		0	N/A		1 to 1	SSD	NP_459015.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385509	0	N/A		0	N/A		2 to 1	RBB	WP_016254330.1;WP_003137196.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_004146011.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128007	b0013	NP_414554.1	"conserved protein, UPF0412 family"	0	N/A		1 to 1	SSD	YP_005235644	0	N/A		0	N/A		1 to 1	SSD	NP_459016.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385510	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002887909.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128008	b0014	NP_414555.1	"chaperone Hsp70, co-chaperone with DnaJ"	1 to 1	RBB	WP_003401814.1	1 to 1	Borderline-SSD	YP_005235646	1 to 1	SSD	WP_009954031.1	1 to 1	SSD	YP_001705000	1 to 1	Borderline-SSD	NP_459017.1	1 to 1	SSD	NP_253449.1	1 to 1	SSD	YP_001085965	1 to 1	RBB	YP_002385511	1 to 1	SSD	WP_000034716.1	1 to 1	RBB	WP_012392596.1	1 to 1	SSD	WP_003095212.1	1 to 1	SSD	WP_009979480.1	1 to 1	SSD	WP_003879232.1	1 to 1	SSD	YP_885116.1	1 to 1	Borderline-SSD	WP_002292134.1	1 to 1	SSD	WP_004146997.1	1 to 1	SSD	YP_001575467	1 to 1	SSD	WP_001062607.1	1 to 1	Borderline-SSD	YP_500193.1	1 to 1	SSD	YP_003611339
16128009	b0015	NP_414556.1	"chaperone Hsp40, co-chaperone with DnaK"	1 to 1	RBB	WP_003401821.1	1 to 1	Borderline-SSD	YP_005235647	1 to 1	SSD	WP_008261532.1	1 to 1	RBB	YP_001704998	1 to 1	Borderline-SSD	NP_459018.1	1 to 1	SSD	NP_253448.1	1 to 1	SSD	YP_001086434	1 to 1	RBB	YP_002385512	1 to 1	SSD	WP_001119021.1	1 to 1	RBB	WP_012392598.1	1 to 1	SSD	WP_003095211.1	1 to 1	RBB	WP_003879233.1	1 to 1	SSD	WP_003876004.1	1 to 1	SSD	YP_888776.1	1 to 1	SSD	WP_002289374.1	1 to 1	SSD	WP_002887955.1	1 to 1	SSD	YP_001575466	1 to 1	SSD	WP_001119029.1	1 to 1	SSD	YP_500192.1	1 to 1	SSD	YP_003611340
16128010	b0016	NP_414557.1	IS186 transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128012	b0018	NP_414559.1	"regulatory protein for HokC, overlaps CDS of hokC"	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385513	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128013	b0019	NP_414560.1	sodium-proton antiporter	0	N/A		1 to 1	SSD	YP_005235681	0	N/A		1 to 1	RBB	YP_001703723	1 to 1	SSD	NP_459044.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385514	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_887106.1	0	N/A		1 to 1	SSD	WP_004192071.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611341
16128014	b0020	NP_414561.1	DNA-binding transcriptional activator	0	N/A		1 to 1	Borderline-SSD	YP_005235682	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_459045.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385515	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002887961.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003611342
16128015	b0021	NP_414562.1	IS1 transposase B	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		6 to 1	RBB	YP_003614177
16128016	b0022	NP_414563.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 6	RBB	WP_012737108.1	0	N/A		0	N/A		0	N/A		6 to 1	RBB	YP_003613961
16128017	b0023	NP_414564.1	30S ribosomal subunit protein S20	1 to 1	RBB	WP_003899314.1	1 to 1	Borderline-SSD	YP_005235685	1 to 1	RBB	WP_008255272.1	1 to 1	SSD	YP_001702373	1 to 1	Borderline-SSD	NP_459048.1	1 to 1	SSD	NP_253253.1	1 to 1	SSD	YP_001084646	1 to 1	RBB	YP_002385520	1 to 1	RBB	WP_001274017.1	1 to 1	RBB	WP_011741410.1	1 to 1	SSD	WP_003094744.1	1 to 1	RBB	WP_003875905.1	1 to 1	RBB	WP_003875905.1	1 to 1	RBB	YP_888840.1	1 to 1	SSD	WP_002292188.1	1 to 1	SSD	WP_002887965.1	1 to 1	RBB	YP_001575473	1 to 1	SSD	WP_000013652.1	1 to 1	RBB	YP_500199.1	1 to 1	SSD	YP_003611343
16128018	b0024	NP_414565.1	predicted protein	0	N/A		1 to 1	RBB	YP_005235686	0	N/A		0	N/A		1 to 1	RBB	NP_459049.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385521	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128019	b0025	NP_414566.1	bifunctional riboflavin kinase/FAD synthetase	1 to 1	RBB	WP_003911989.1	1 to 1	Borderline-SSD	YP_005235687	1 to 1	RBB	WP_009955352.1	1 to 1	SSD	YP_001703840	1 to 1	Borderline-SSD	NP_459050.1	1 to 1	SSD	NP_253251.1	0	N/A		1 to 1	RBB	YP_002385522	1 to 1	RBB	WP_000864185.1	1 to 1	RBB	WP_012393715.1	1 to 1	SSD	WP_003110419.1	1 to 1	RBB	WP_003875161.1	1 to 1	RBB	WP_003875161.1	1 to 1	RBB	YP_886990.1	1 to 1	SSD	WP_002288521.1	1 to 1	SSD	WP_002887969.1	1 to 1	RBB	YP_001575097	1 to 1	SSD	WP_000771825.1	1 to 1	Borderline-SSD	YP_499782.1	1 to 1	SSD	YP_003611345
16128020	b0026	NP_414567.1	isoleucyl-tRNA synthetase	1 to 1	RBB	WP_003407714.1	1 to 1	Non-SSD	YP_005235688	1 to 1	SSD	WP_014380389.1	1 to 1	Non-SSD	YP_001703438	1 to 1	Non-SSD	NP_459051.1	1 to 1	SSD	NP_253250.1	1 to 1	SSD	YP_001083119	1 to 1	RBB	YP_002385523	1 to 1	SSD	WP_000384691.1	1 to 1	RBB	WP_012394105.1	1 to 1	SSD	WP_003141556.1	1 to 1	SSD	WP_033722727.1	1 to 1	SSD	WP_019306320.1	1 to 1	SSD	YP_887484.1	1 to 1	SSD	WP_002286621.1	1 to 1	SSD	WP_004212580.1	1 to 1	SSD	YP_001575026	1 to 1	SSD	WP_001281046.1	1 to 1	SSD	YP_499699.1	1 to 1	SSD	YP_003611346
16128021	b0027	NP_414568.1	prolipoprotein signal peptidase (signal peptidase II)	0	N/A		1 to 1	Borderline-SSD	YP_005235689	1 to 1	RBB	WP_009955504.1	0	N/A		1 to 1	Borderline-SSD	NP_459052.1	1 to 1	SSD	NP_253249.1	1 to 1	SSD	YP_001083118	1 to 1	RBB	YP_002385524	1 to 1	RBB	WP_000549207.1	1 to 1	RBB	WP_036450826.1	1 to 1	SSD	WP_003094728.1	1 to 1	RBB	WP_019734093.1	1 to 1	RBB	WP_003877697.1	0	N/A		1 to 1	SSD	WP_002295859.1	1 to 1	SSD	WP_002887973.1	1 to 1	RBB	YP_001575028	3 to 1	RBB	WP_000021528.1;WP_001133879.1;WP_005136949.1	1 to 1	SSD	YP_499702.1	1 to 1	SSD	YP_003611347
16128022	b0028	NP_414569.1	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	0	N/A		1 to 1	Borderline-SSD	YP_005235691	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_459053.1	1 to 1	RBB	NP_253248.1	1 to 1	SSD	YP_001083117	1 to 1	RBB	YP_002385525	0	N/A		0	N/A		1 to 1	RBB	WP_003102613.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002887976.1	0	N/A		1 to 1	SSD	WP_000136002.1	0	N/A		1 to 1	SSD	YP_003611348
16128023	b0029	NP_414570.1	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein"	1 to 1	RBB	WP_003405853.1	1 to 1	Borderline-SSD	YP_005235692	1 to 1	RBB	WP_008254378.1	1 to 1	SSD	YP_001701999	1 to 1	Borderline-SSD	NP_459054.1	1 to 1	RBB	NP_253247.1	1 to 1	SSD	YP_001086168	1 to 1	RBB	YP_002385526	0	N/A		1 to 1	RBB	WP_012392269.1	1 to 1	SSD	WP_003094724.1	1 to 1	RBB	WP_009975388.1	1 to 1	RBB	WP_003875386.1	1 to 1	RBB	YP_889470.1	0	N/A		1 to 1	SSD	WP_014908021.1	0	N/A		1 to 1	SSD	WP_000407064.1	0	N/A		1 to 1	SSD	YP_003611349
