Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog count (reference : comparison)	Mycobacterium avium subsp. paratuberculosis K-10 - ortholuge status	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus N315 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus N315 - ortholuge status	Staphylococcus aureus subsp. aureus N315 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Mycobacterium abscessus ATCC 19977 - ortholog count (reference : comparison)	Mycobacterium abscessus ATCC 19977 - ortholuge status	Mycobacterium abscessus ATCC 19977 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Mycobacterium intracellulare ATCC 13950 - ortholog count (reference : comparison)	Mycobacterium intracellulare ATCC 13950 - ortholuge status	Mycobacterium intracellulare ATCC 13950 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Mycobacterium marinum M - ortholog count (reference : comparison)	Mycobacterium marinum M - ortholuge status	Mycobacterium marinum M - ortholog NCBI RefSeq accession	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog count (reference : comparison)	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholuge status	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Mycobacterium avium 104 - ortholog count (reference : comparison)	Mycobacterium avium 104 - ortholuge status	Mycobacterium avium 104 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholuge status	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholuge status	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog NCBI RefSeq accession	Acinetobacter baumannii AYE - ortholog count (reference : comparison)	Acinetobacter baumannii AYE - ortholuge status	Acinetobacter baumannii AYE - ortholog NCBI RefSeq accession	Enterococcus faecium Aus0004 - ortholog count (reference : comparison)	Enterococcus faecium Aus0004 - ortholuge status	Enterococcus faecium Aus0004 - ortholog NCBI RefSeq accession
397671779	RVBD_0001	WP_003400253.1	chromosomal replication initiator protein dnaA	1 to 1	RBB	YP_005240105	1 to 1	SSD	WP_010948690.1	1 to 1	RBB	WP_001290433.1	1 to 1	RBB	NP_418157.1	1 to 1	SSD	NP_064721.1	1 to 1	SSD	YP_001700758	1 to 1	SSD	WP_003109151.1	1 to 1	RBB	NP_462738.1	1 to 1	SSD	WP_009952232.1	1 to 1	RBB	YP_001083100	1 to 1	SSD	WP_012392009.1	1 to 1	SSD	YP_891139.1	1 to 1	RBB	YP_002389181	1 to 1	SSD	WP_003874370.1	1 to 1	RBB	WP_004151534.1	1 to 1	RBB	YP_001573926	1 to 1	RBB	YP_498609.1	1 to 1	RBB	WP_000964768.1	1 to 1	RBB	WP_002288360.1
397671780	RVBD_0002	WP_003400271.1	DNA polymerase III subunit beta	1 to 1	RBB	YP_005240104	1 to 1	SSD	WP_003874371.1	1 to 1	RBB	WP_000969811.1	1 to 1	RBB	NP_418156.1	1 to 1	SSD	NP_064722.1	1 to 1	SSD	YP_001700759	1 to 1	SSD	WP_003097262.1	1 to 1	RBB	NP_462737.1	1 to 1	SSD	WP_014378740.1	1 to 1	RBB	YP_001083101	1 to 1	SSD	WP_012392010.1	1 to 1	SSD	YP_884424.1	1 to 1	RBB	YP_002389180	1 to 1	SSD	WP_003874371.1	1 to 1	RBB	WP_004145090.1	1 to 1	RBB	YP_001573927	1 to 1	RBB	YP_498610.1	1 to 1	RBB	WP_001237350.1	1 to 1	RBB	WP_002288361.1
397671781	RVBD_0003	WP_003912365.1	DNA replication and repair protein RecF	1 to 1	RBB	YP_005240102	1 to 1	SSD	WP_003876778.1	1 to 1	RBB	WP_000775113.1	1 to 1	RBB	NP_418155.1	1 to 1	SSD	NP_064723.1	1 to 1	SSD	YP_001700761	1 to 1	SSD	WP_003097265.1	1 to 1	RBB	NP_462736.1	1 to 1	SSD	WP_014378741.1	1 to 1	RBB	YP_001083102	1 to 1	SSD	WP_012392011.1	1 to 1	SSD	YP_884426.1	1 to 1	RBB	YP_002389179	1 to 1	SSD	WP_011723277.1	1 to 1	RBB	WP_004150293.1	1 to 1	RBB	YP_001573929	1 to 1	RBB	YP_498612.1	1 to 1	RBB	WP_000550807.1	1 to 1	RBB	WP_002303989.1
397671782	RVBD_0004	WP_003899769.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003874373.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001700762	0	N/A		0	N/A		1 to 1	SSD	WP_014378742.1	0	N/A		1 to 1	SSD	WP_012392012.1	1 to 1	SSD	YP_884427.1	0	N/A		1 to 1	SSD	WP_003874373.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108322	RVBD_0005	WP_003917863.1	DNA gyrase subunit B	1 to 1	SSD	YP_005240101	1 to 1	SSD	WP_009974152.1	1 to 1	RBB	WP_000255578.1	1 to 1	RBB	YP_026241.1	1 to 1	Borderline-SSD	NP_064724.1	1 to 1	SSD	YP_001700763	1 to 1	Borderline-SSD	WP_003097268.1	1 to 1	SSD	NP_462735.1	1 to 1	SSD	WP_009954877.1	1 to 1	SSD	YP_001083103	1 to 1	SSD	WP_020727522.1	1 to 1	SSD	YP_884428.1	1 to 1	RBB	YP_002389178	1 to 1	SSD	WP_009974152.1	1 to 1	SSD	WP_004173845.1	1 to 1	RBB	YP_001573930	1 to 1	RBB	YP_498613.1	1 to 1	SSD	WP_000093732.1	1 to 2	RBB	WP_002288364.1;WP_002303746.1
397671784	RVBD_0006	WP_003917265.1	DNA gyrase subunit A	1 to 1	SSD	YP_005238340	1 to 1	SSD	WP_010948691.1	1 to 1	RBB	WP_000819096.1	1 to 1	RBB	NP_416734.1	1 to 1	SSD	NP_251858.1	1 to 1	SSD	YP_001700776	1 to 1	SSD	WP_003116419.1	1 to 1	SSD	NP_461214.1	1 to 1	SSD	WP_014378743.1	1 to 1	SSD	YP_001085645	1 to 1	SSD	WP_012392014.1	1 to 1	SSD	YP_884429.1	1 to 1	RBB	YP_002387707	1 to 1	SSD	WP_011723278.1	1 to 1	SSD	WP_014907173.1	1 to 1	RBB	YP_001573931	1 to 1	RBB	YP_498614.1	1 to 1	SSD	WP_000116442.1	1 to 1	RBB	WP_002288365.1
397671785	RVBD_0007	WP_003400291.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003874376.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001700777	0	N/A		0	N/A		1 to 1	SSD	WP_014378744.1	0	N/A		1 to 1	SSD	WP_012392015.1	1 to 1	SSD	YP_884430.1	0	N/A		1 to 1	SSD	WP_011723279.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671786	RVBD_0007Ac	YP_006513320	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671787	RVBD_0007Bc	YP_006513321	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671788	RVBD_0008c	WP_003917266.1	membrane protein	0	N/A		1 to 1	SSD	WP_003876784.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012392018.1	0	N/A		0	N/A		1 to 1	SSD	WP_011723281.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671789	RVBD_0009	WP_003400321.1	peptidyl-prolyl cis-trans isomerase A	1 to 2	RBB	YP_005236239;YP_005239665	1 to 1	SSD	WP_003876785.1	1 to 1	RBB	WP_000035058.1	1 to 1	RBB	NP_415058.1	1 to 2	RBB	NP_250484.1;NP_251917.1	1 to 1	SSD	YP_001700781	1 to 2	RBB	WP_003109185.1;WP_003087890.1	1 to 2	RBB	NP_459531.1;NP_462375.1	1 to 1	SSD	WP_008262529.1	1 to 1	Non-SSD	YP_001085960	1 to 1	SSD	WP_012392019.1	1 to 1	SSD	YP_884444.1	1 to 1	RBB	YP_002386002	1 to 1	SSD	WP_009974159.1	1 to 1	SimNSSD	WP_004151319.1	1 to 1	RBB	YP_001574814	1 to 1	RBB	YP_499444.1	1 to 2	RBB	WP_000009660.1;WP_001986667.1	1 to 2	RBB	WP_002296283.1;WP_002287167.1
397671790	RVBD_0010c	WP_003899772.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003872097.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001700784	0	N/A		0	N/A		1 to 1	SSD	WP_008262533.1	0	N/A		1 to 1	SSD	WP_012392020.1	1 to 1	SSD	YP_884445.1	0	N/A		1 to 1	SSD	WP_031348217.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671791	RVBD_0011c	WP_003400344.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003872098.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001700785	0	N/A		0	N/A		1 to 1	SSD	WP_003872098.1	0	N/A		1 to 1	SSD	WP_011738418.1	1 to 1	SSD	YP_884446.1	0	N/A		1 to 1	SSD	WP_003872098.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671792	RVBD_0012	WP_003917864.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003876787.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001700787	0	N/A		0	N/A		1 to 1	SSD	WP_014378748.1	0	N/A		1 to 1	SSD	WP_012392021.1	1 to 1	SSD	YP_884447.1	0	N/A		1 to 1	SSD	WP_003876787.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671793	RVBD_0013	WP_003899773.1	anthranilate synthase component 2	1 to 1	SSD	YP_005239662	1 to 1	SSD	WP_003876788.1	1 to 2	RBB	WP_000604514.1;WP_000604816.1	1 to 1	RBB	NP_417819.1	1 to 1	RBB	NP_249340.1	1 to 1	SSD	YP_001700788	1 to 1	RBB	WP_003117978.1	1 to 1	SSD	NP_462372.1	1 to 1	SSD	WP_008262550.1	1 to 1	RBB	YP_001085376	1 to 1	SSD	WP_012392022.1	1 to 1	Borderline-SSD	YP_884448.1	1 to 1	RBB	YP_002388819	1 to 1	SSD	WP_011723284.1	1 to 1	SSD	WP_002920229.1	1 to 2	RBB	YP_001574636;YP_001575194	1 to 2	RBB	YP_499281.1;YP_499894.1	1 to 1	SSD	WP_000925669.1	0	N/A	
397671794	RVBD_0014c	WP_003400356.1	serine/threonine-protein kinase pknB	0	N/A		1 to 1	SSD	WP_003876789.1	3 to 1	RBB	WP_000579563.1	0	N/A		4 to 1	RBB	NP_248764.1	1 to 1	SSD	YP_001700789	4 to 1	RBB	WP_003136961.1	0	N/A		1 to 1	SSD	WP_014378749.1	0	N/A		1 to 1	SSD	WP_012392023.1	1 to 1	SSD	YP_884449.1	0	N/A		1 to 1	SSD	WP_003872101.1	0	N/A		3 to 1	RBB	YP_001575051	3 to 1	RBB	YP_499726.1	0	N/A		1 to 1	RBB	WP_002287377.1
397671795	RVBD_0015c	WP_003400358.1	serine/threonine protein kinase	0	N/A		1 to 1	SSD	NP_958952.1	3 to 1	RBB	WP_000579563.1	0	N/A		4 to 1	RBB	NP_248764.1	1 to 1	SSD	YP_001700790	4 to 1	RBB	WP_003136961.1	0	N/A		1 to 1	SSD	WP_041297605.1	0	N/A		1 to 1	SSD	WP_012392024.1	1 to 1	SSD	YP_884450.1	0	N/A		1 to 1	SSD	WP_003872102.1	0	N/A		3 to 1	RBB	YP_001575051	3 to 1	RBB	YP_499726.1	0	N/A		0	N/A	
397671796	RVBD_0016c	WP_003899775.1	penicillin-binding protein A	1 to 2	RBB	YP_005236356;YP_005237877	1 to 1	SSD	WP_003876791.1	0	N/A		1 to 1	RBB	NP_415168.1	1 to 1	SSD	NP_252692.1	1 to 1	SSD	YP_001700791	1 to 1	SSD	WP_003093191.1	1 to 2	RBB	NP_459632.1;NP_460867.1	1 to 1	SSD	WP_014378751.1	0	N/A		1 to 1	SSD	WP_012392025.1	1 to 1	SSD	YP_884451.1	1 to 1	RBB	YP_002386090	1 to 1	SSD	WP_003876791.1	2 to 1	RBB	WP_002894617.1;WP_002905759.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002303833.1
397671797	RVBD_0017c	WP_003400364.1	cell division protein FtsW	0	N/A		1 to 1	SSD	WP_010948697.1	0	N/A		0	N/A		1 to 1	RBB	NP_252691.1	1 to 1	SSD	YP_001700792	1 to 1	RBB	WP_003100307.1	0	N/A		1 to 1	SSD	WP_020188378.1	1 to 1	RBB	YP_001085339	1 to 1	SSD	WP_012392026.1	1 to 1	SSD	YP_884452.1	0	N/A		1 to 1	SSD	WP_011723286.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_000075224.1	1 to 1	RBB	WP_002288740.1
397671798	RVBD_0018c	WP_003912367.1	PP2C-family Ser/Thr phosphatase	0	N/A		1 to 1	SSD	WP_003872105.1	1 to 1	RBB	WP_000888486.1	0	N/A		1 to 2	RBB	NP_248765.1;NP_250361.1	1 to 1	SSD	YP_001700793	1 to 2	RBB	WP_003083639.1;WP_003110437.1	0	N/A		1 to 1	SSD	WP_014378753.1	0	N/A		1 to 1	SSD	WP_012392027.1	1 to 1	SSD	YP_884453.1	0	N/A		1 to 1	SSD	WP_011723287.1	0	N/A		1 to 1	RBB	YP_001575050	1 to 1	RBB	YP_499725.1	0	N/A		1 to 1	RBB	WP_002287376.1
397671799	RVBD_0019c	WP_003400373.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003872106.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001700794	0	N/A		0	N/A		1 to 1	SSD	WP_007771646.1	0	N/A		1 to 1	SSD	WP_012392028.1	1 to 1	SSD	YP_884454.1	0	N/A		1 to 1	SSD	WP_003872106.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
