Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession
397671779	RVBD_0001	WP_003400253.1	chromosomal replication initiator protein dnaA	1 to 1	RBB	YP_005240105	1 to 1	RBB	NP_418157.1	1 to 1	SSD	NP_064721.1	1 to 1	SSD	WP_003109151.1	1 to 1	RBB	NP_462738.1	1 to 1	RBB	YP_001083100	1 to 1	RBB	YP_002389181
397671780	RVBD_0002	WP_003400271.1	DNA polymerase III subunit beta	1 to 1	RBB	YP_005240104	1 to 1	RBB	NP_418156.1	1 to 1	SSD	NP_064722.1	1 to 1	SSD	WP_003097262.1	1 to 1	RBB	NP_462737.1	1 to 1	RBB	YP_001083101	1 to 1	RBB	YP_002389180
397671781	RVBD_0003	WP_003912365.1	DNA replication and repair protein RecF	1 to 1	RBB	YP_005240102	1 to 1	RBB	NP_418155.1	1 to 1	SSD	NP_064723.1	1 to 1	SSD	WP_003097265.1	1 to 1	RBB	NP_462736.1	1 to 1	RBB	YP_001083102	1 to 1	RBB	YP_002389179
397671782	RVBD_0004	WP_003899769.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108322	RVBD_0005	WP_003917863.1	DNA gyrase subunit B	1 to 1	SSD	YP_005240101	1 to 1	RBB	YP_026241.1	1 to 1	Borderline-SSD	NP_064724.1	1 to 1	Borderline-SSD	WP_003097268.1	1 to 1	SSD	NP_462735.1	1 to 1	SSD	YP_001083103	1 to 1	RBB	YP_002389178
397671784	RVBD_0006	WP_003917265.1	DNA gyrase subunit A	1 to 1	SSD	YP_005238340	1 to 1	RBB	NP_416734.1	1 to 1	SSD	NP_251858.1	1 to 1	SSD	WP_003116419.1	1 to 1	SSD	NP_461214.1	1 to 1	SSD	YP_001085645	1 to 1	RBB	YP_002387707
397671785	RVBD_0007	WP_003400291.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671786	RVBD_0007Ac	YP_006513320	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671787	RVBD_0007Bc	YP_006513321	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671788	RVBD_0008c	WP_003917266.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
