Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Streptococcus pneumoniae D39 - ortholog count (reference : comparison)	Streptococcus pneumoniae D39 - ortholuge status	Streptococcus pneumoniae D39 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus str. Newman - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus str. Newman - ortholuge status	Staphylococcus aureus subsp. aureus str. Newman - ortholog NCBI RefSeq accession	Bacillus subtilis subsp. subtilis str. 168 - ortholog count (reference : comparison)	Bacillus subtilis subsp. subtilis str. 168 - ortholuge status	Bacillus subtilis subsp. subtilis str. 168 - ortholog NCBI RefSeq accession
16127995	b0001	NP_414542.1	thr operon leader peptide	0	N/A		0	N/A		0	N/A	
16127996	b0002	NP_414543.1	fused aspartokinase I and homoserine dehydrogenase I	1 to 3	SSD	YP_815887.1	1 to 3	SSD	WP_000868645.1	1 to 1	RBB	NP_388261.1
16127997	b0003	NP_414544.1	homoserine kinase	1 to 1	RBB	YP_816661.1	1 to 1	SSD	WP_000073184.1	1 to 1	RBB	NP_391104.1
16127998	b0004	NP_414545.1	threonine synthase	1 to 1	RBB	YP_817282.1	0	N/A		0	N/A	
16127999	b0005	NP_414546.1	predicted protein	0	N/A		0	N/A		0	N/A	
16128000	b0006	NP_414547.1	conserved protein, UPF0246 family	1 to 1	RBB	YP_816838.1	0	N/A		0	N/A	
16128001	b0007	NP_414548.1	predicted transporter	1 to 1	RBB	YP_815882.1	1 to 1	SSD	WP_000651160.1	1 to 3	RBB	NP_388124.2;NP_389694.1;NP_390659.2
16128002	b0008	NP_414549.1	transaldolase B	0	N/A		0	N/A		0	N/A	
16128003	b0009	NP_414550.1	molybdochelatase incorporating molybdenum into molybdopterin	0	N/A		0	N/A		0	N/A	
16128004	b0010	NP_414551.1	inner membrane protein, Grp1_Fun34_YaaH family	0	N/A		0	N/A		0	N/A	
16128005	b0011	NP_414552.1	conserved protein, UPF0174 family	0	N/A		0	N/A		0	N/A	
16128007	b0013	NP_414554.1	conserved protein, UPF0412 family	0	N/A		0	N/A		0	N/A	
16128008	b0014	NP_414555.1	chaperone Hsp70, co-chaperone with DnaJ	1 to 1	SSD	YP_815968.1	1 to 1	SSD	WP_000034716.1	1 to 1	SSD	NP_390425.1
16128009	b0015	NP_414556.1	chaperone Hsp40, co-chaperone with DnaK	1 to 1	RBB	YP_815969.1	1 to 1	SSD	WP_001119021.1	1 to 1	SSD	NP_390424.2
16128010	b0016	NP_414557.1	IS186 transposase	0	N/A		0	N/A		0	N/A	
16128012	b0018	NP_414559.1	regulatory protein for HokC, overlaps CDS of hokC	0	N/A		0	N/A		0	N/A	
16128013	b0019	NP_414560.1	sodium-proton antiporter	0	N/A		0	N/A		0	N/A	
16128014	b0020	NP_414561.1	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A	
16128015	b0021	NP_414562.1	IS1 transposase B	0	N/A		0	N/A		0	N/A	
16128016	b0022	NP_414563.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A	
