Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession
16127995	b0001	NP_414542.1	thr operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16127996	b0002	NP_414543.1	fused aspartokinase I and homoserine dehydrogenase I	1 to 3	RBB	WP_014852139.1	1 to 3	Non-SSD	WP_003085971.1	1 to 2	RBB	WP_014847791.1	1 to 3	Non-SSD	WP_013973645.1	1 to 3	Non-SSD	WP_003085971.1	1 to 3	RBB	WP_041628713.1	1 to 3	RBB	WP_003244475.1	1 to 3	Non-SSD	WP_003153523.1	1 to 3	Non-SSD	NP_274506.1	1 to 3	Non-SSD	WP_003085971.1	1 to 2	Non-SSD	NP_746584.1	3 to 1	Non-SSD	YP_208057.1
16127997	b0003	NP_414544.1	homoserine kinase	0	N/A		0	N/A		1 to 1	RBB	WP_014846446.1	0	N/A		0	N/A		1 to 1	RBB	WP_012731921.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16127998	b0004	NP_414545.1	threonine synthase	1 to 1	SSD	WP_014851812.1	1 to 1	Borderline-SSD	WP_003092622.1	1 to 1	RBB	WP_014847729.1	2 to 1	RBB	WP_010952565.1;WP_013970804.1	1 to 1	Borderline-SSD	WP_003092622.1	1 to 1	RBB	WP_012731342.1	1 to 1	SSD	WP_012019455.1	1 to 1	Borderline-SSD	WP_003153970.1	1 to 1	Borderline-SSD	NP_274080.1	1 to 1	Borderline-SSD	WP_003092622.1	2 to 1	RBB	NP_743629.1;NP_742823.1	1 to 1	Non-SSD	YP_207828.1
16127999	b0005	NP_414546.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128000	b0006	NP_414547.1	conserved protein, UPF0246 family	1 to 1	SSD	WP_014851782.1	1 to 1	SSD	WP_003092094.1	1 to 1	RBB	WP_041696964.1	1 to 1	SSD	WP_013974148.1	1 to 1	SSD	WP_003092094.1	0	N/A		1 to 1	SSD	WP_011921105.1	1 to 1	SSD	WP_012074773.1	1 to 1	RBB	NP_273936.1	1 to 1	SSD	WP_003138105.1	1 to 1	SSD	NP_743449.1	1 to 1	RBB	YP_207611.1
16128001	b0007	NP_414548.1	predicted transporter	1 to 1	RBB	WP_014851157.1	1 to 1	RBB	WP_003092370.1	0	N/A		1 to 1	SSD	WP_013970656.1	1 to 1	RBB	WP_003092370.1	1 to 1	RBB	WP_041629393.1	2 to 1	RBB	WP_011920463.1;WP_011920663.1	1 to 1	RBB	WP_012074697.1	1 to 1	Borderline-SSD	NP_273252.1	1 to 1	RBB	WP_003138024.1	1 to 1	RBB	NP_742661.1	1 to 1	RBB	YP_208818.1
16128002	b0008	NP_414549.1	transaldolase B	1 to 2	RBB	WP_014852534.1	1 to 2	RBB	WP_003090868.1	1 to 2	RBB	WP_014845277.1	1 to 2	RBB	WP_013971743.1	1 to 2	RBB	WP_003090868.1	1 to 2	RBB	WP_012731600.1	1 to 2	RBB	WP_012018392.1	1 to 2	RBB	WP_012075288.1	1 to 2	RBB	NP_273400.1	1 to 2	RBB	WP_003090868.1	1 to 2	RBB	NP_744317.1	2 to 1	RBB	YP_208650.1
16128003	b0009	NP_414550.1	molybdochelatase incorporating molybdenum into molybdopterin	0	N/A		0	N/A		1 to 1	RBB	WP_014848013.1	0	N/A		0	N/A		1 to 2	RBB	WP_041629136.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128004	b0010	NP_414551.1	inner membrane protein, Grp1_Fun34_YaaH family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128005	b0011	NP_414552.1	conserved protein, UPF0174 family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_016254330.1;WP_003137196.1	0	N/A		0	N/A	
16128007	b0013	NP_414554.1	conserved protein, UPF0412 family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128008	b0014	NP_414555.1	chaperone Hsp70, co-chaperone with DnaJ	1 to 1	SSD	WP_014853942.1	1 to 1	SSD	WP_003095212.1	1 to 1	RBB	WP_014847515.1	1 to 1	SSD	WP_013974297.1	1 to 1	SSD	WP_003095212.1	1 to 1	RBB	WP_012730951.1	1 to 1	SSD	WP_012019586.1	1 to 1	SSD	WP_012077495.1	1 to 1	SSD	NP_273598.1	1 to 1	SSD	WP_003095212.1	1 to 1	SSD	NP_746835.1	1 to 1	SSD	YP_208484.1
16128009	b0015	NP_414556.1	chaperone Hsp40, co-chaperone with DnaK	1 to 1	SSD	WP_014853941.1	1 to 1	SSD	WP_003095211.1	1 to 1	RBB	WP_014847513.1	1 to 1	SSD	WP_013974296.1	1 to 1	SSD	WP_003095211.1	1 to 1	RBB	WP_012730954.1	1 to 1	SSD	WP_003240538.1	1 to 1	SSD	WP_003148711.1	1 to 1	SSD	NP_273124.1	1 to 1	SSD	WP_003095211.1	1 to 1	SSD	NP_746834.1	1 to 1	SSD	YP_208928.1
16128010	b0016	NP_414557.1	IS186 transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128012	b0018	NP_414559.1	regulatory protein for HokC, overlaps CDS of hokC	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128013	b0019	NP_414560.1	sodium-proton antiporter	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013973924.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_743293.1	0	N/A	
16128014	b0020	NP_414561.1	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013971990.1	0	N/A		0	N/A		1 to 1	RBB	WP_012018455.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_744592.1	0	N/A	
16128015	b0021	NP_414562.1	IS1 transposase B	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128016	b0022	NP_414563.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128017	b0023	NP_414564.1	30S ribosomal subunit protein S20	1 to 1	SSD	WP_014854146.1	1 to 1	SSD	WP_003094744.1	1 to 1	RBB	WP_014846769.1	1 to 1	SSD	WP_003247625.1	1 to 1	SSD	WP_003094744.1	1 to 1	RBB	WP_012731973.1	1 to 1	Borderline-SSD	WP_003243036.1	1 to 1	SSD	WP_003150004.1	1 to 1	SSD	NP_273510.1	1 to 1	SSD	WP_003094744.1	1 to 1	SSD	NP_742762.1	1 to 1	SSD	YP_208543.1
16128018	b0024	NP_414565.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128019	b0025	NP_414566.1	bifunctional riboflavin kinase/FAD synthetase	1 to 1	SSD	WP_014854144.1	1 to 1	SSD	WP_003102619.1	1 to 1	RBB	WP_041696363.1	1 to 1	SSD	WP_023660619.1	1 to 1	SSD	WP_003094732.1	1 to 1	RBB	WP_012731768.1	1 to 1	SSD	WP_003243038.1	1 to 1	SSD	WP_003150007.1	1 to 1	SSD	NP_274831.1	1 to 1	SSD	WP_003110419.1	1 to 1	SSD	NP_742764.1	1 to 1	SSD	YP_207243.1
16128020	b0026	NP_414567.1	isoleucyl-tRNA synthetase	1 to 1	SSD	WP_014854143.1	1 to 1	SSD	WP_003102617.1	1 to 1	RBB	WP_014847784.1	1 to 1	SSD	WP_013970751.1	1 to 1	SSD	WP_003094730.1	1 to 1	RBB	WP_041629230.1	1 to 1	SSD	WP_011921044.1	1 to 1	SSD	WP_012077314.1	1 to 1	SSD	NP_274830.1	1 to 1	SSD	WP_003141556.1	1 to 1	SSD	NP_742765.1	1 to 1	SSD	YP_207244.1
16128021	b0027	NP_414568.1	prolipoprotein signal peptidase (signal peptidase II)	1 to 1	SSD	WP_043942858.1	1 to 1	SSD	WP_003098955.1	1 to 1	RBB	WP_041697592.1	1 to 1	Borderline-SSD	WP_003258216.1	1 to 1	SSD	WP_003094728.1	0	N/A		1 to 1	SSD	WP_011921045.1	1 to 1	SSD	WP_003150009.1	1 to 1	SSD	NP_274829.1	1 to 1	SSD	WP_003094728.1	1 to 1	Borderline-SSD	NP_742766.1	1 to 1	SSD	YP_207246.1
16128022	b0028	NP_414569.1	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	1 to 1	RBB	WP_014854141.1	1 to 1	RBB	WP_003102613.1	0	N/A		1 to 1	RBB	WP_003258215.1	1 to 1	RBB	WP_003094726.1	0	N/A		1 to 1	RBB	WP_003243044.1	1 to 1	RBB	WP_003150012.1	0	N/A		1 to 1	RBB	WP_003102613.1	1 to 1	RBB	NP_742767.1	0	N/A	
16128023	b0029	NP_414570.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	1 to 1	RBB	WP_014854140.1	1 to 1	SSD	WP_003094724.1	1 to 1	RBB	WP_041696724.1	1 to 1	SSD	WP_013970753.1	1 to 1	SSD	WP_003094724.1	0	N/A		1 to 1	RBB	WP_011921046.1	1 to 1	SSD	WP_012077313.1	1 to 1	SSD	NP_274828.1	1 to 1	SSD	WP_003094724.1	1 to 1	SSD	NP_742768.1	1 to 1	SSD	YP_207247.1
16128024	b0030	NP_414571.1	ribonucleoside hydrolase 3	0	N/A		0	N/A		0	N/A		1 to 3	RBB	WP_044046957.1	0	N/A		1 to 3	RBB	WP_012732335.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 3	RBB	NP_744608.1	0	N/A	
16128025	b0031	NP_414572.1	dihydrodipicolinate reductase	2 to 1	RBB	WP_014853940.1;YP_006525690	1 to 1	SSD	WP_003095210.1	1 to 1	RBB	WP_041696365.1	1 to 1	SSD	WP_013974295.1	1 to 1	SSD	WP_003095210.1	1 to 1	RBB	WP_012731761.1	1 to 1	SSD	WP_012019585.1	1 to 1	SSD	WP_012077494.1	1 to 1	SSD	NP_273261.1	1 to 1	SSD	WP_003095210.1	1 to 1	SSD	NP_746833.1	1 to 1	SSD	YP_208812.1
16128026	b0032	NP_414573.1	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	1 to 1	SSD	WP_014853927.1	1 to 1	SSD	WP_003095209.1	1 to 1	RBB	WP_014846646.1	1 to 1	SSD	WP_013974294.1	1 to 1	SSD	WP_003095209.1	1 to 1	RBB	WP_012731631.1	1 to 1	SSD	WP_012019584.1	1 to 1	SSD	WP_012077493.1	1 to 1	SSD	NP_274845.1	1 to 1	SSD	WP_011666772.1	1 to 1	SSD	NP_746832.1	1 to 1	SSD	YP_207230.1
