Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession
16127995	b0001	NP_414542.1	thr operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16127996	b0002	NP_414543.1	fused aspartokinase I and homoserine dehydrogenase I	1 to 1	SSD	YP_005225012	1 to 1	SSD	WP_002887848.1	1 to 3	RBB	WP_003419828.1	1 to 1	SSD	WP_002887848.1	1 to 1	SSD	WP_002887848.1	1 to 1	SSD	WP_012542913.1	1 to 1	SSD	WP_011977629.1
16127997	b0003	NP_414544.1	homoserine kinase	1 to 1	SSD	YP_005225013	1 to 1	SSD	WP_002887853.1	0	N/A		1 to 1	SSD	WP_002887853.1	1 to 1	SSD	WP_002887853.1	1 to 1	SSD	WP_012542912.1	1 to 1	SSD	WP_002887853.1
16127998	b0004	NP_414545.1	threonine synthase	1 to 1	SSD	YP_005225014	1 to 1	SSD	WP_002887863.1	0	N/A		1 to 1	SSD	WP_002887863.1	1 to 1	SSD	WP_002887863.1	1 to 1	SSD	WP_008807507.1	1 to 1	SSD	WP_011977630.1
16127999	b0005	NP_414546.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128000	b0006	NP_414547.1	conserved protein, UPF0246 family	1 to 1	SSD	YP_005225016	1 to 1	SSD	WP_002887869.1	0	N/A		1 to 1	SSD	WP_002887869.1	1 to 1	SSD	WP_002887869.1	1 to 1	SSD	WP_012542910.1	1 to 1	SSD	WP_002887869.1
16128001	b0007	NP_414548.1	predicted transporter	1 to 1	SSD	YP_005225017	1 to 1	SSD	WP_004222586.1	0	N/A		1 to 1	SSD	WP_002887871.1	1 to 1	SSD	WP_002887871.1	1 to 1	SSD	WP_012542909.1	1 to 1	SSD	WP_002887871.1
16128002	b0008	NP_414549.1	transaldolase B	1 to 1	SSD	YP_005225018	1 to 1	SSD	WP_004222589.1	1 to 2	RBB	WP_003912809.1	1 to 1	SSD	WP_002887897.1	1 to 1	SSD	WP_002887897.1	1 to 1	SSD	WP_004204228.1	1 to 1	SSD	WP_002887897.1
16128003	b0009	NP_414550.1	molybdochelatase incorporating molybdenum into molybdopterin	1 to 1	Borderline-SSD	YP_005225019	1 to 1	SSD	WP_002887898.1	1 to 1	RBB	WP_003404549.1	1 to 1	Borderline-SSD	WP_002887898.1	1 to 1	SSD	WP_002887898.1	1 to 1	Borderline-SSD	WP_008807503.1	1 to 1	Borderline-SSD	WP_002887898.1
16128004	b0010	NP_414551.1	inner membrane protein, Grp1_Fun34_YaaH family	1 to 1	SSD	YP_005225021	1 to 1	SSD	WP_002887905.1	0	N/A		1 to 1	SSD	WP_004177461.1	1 to 1	SSD	WP_004177461.1	1 to 1	SSD	WP_012542907.1	1 to 1	SSD	WP_011977632.1
16128005	b0011	NP_414552.1	conserved protein, UPF0174 family	1 to 1	RBB	YP_005225022	1 to 1	RBB	WP_004146011.1	0	N/A		1 to 1	RBB	WP_004146011.1	1 to 1	RBB	WP_004146011.1	1 to 1	RBB	WP_008807500.1	1 to 1	RBB	WP_004146011.1
16128007	b0013	NP_414554.1	conserved protein, UPF0412 family	1 to 1	RBB	YP_005225023	1 to 1	RBB	WP_004222594.1	0	N/A		1 to 1	RBB	WP_002887909.1	1 to 1	RBB	WP_002887909.1	1 to 1	RBB	WP_012542906.1	1 to 1	RBB	WP_004182892.1
16128008	b0014	NP_414555.1	chaperone Hsp70, co-chaperone with DnaJ	1 to 1	SSD	YP_005225024	1 to 1	SSD	WP_004146997.1	1 to 1	RBB	WP_003401814.1	1 to 1	SSD	WP_004146997.1	1 to 1	SSD	WP_004146997.1	1 to 1	SSD	WP_008807498.1	1 to 1	SSD	WP_004146997.1
16128009	b0015	NP_414556.1	chaperone Hsp40, co-chaperone with DnaK	1 to 1	SSD	YP_005225025	1 to 1	SSD	WP_002887955.1	1 to 1	RBB	WP_003401821.1	1 to 1	SSD	WP_002887955.1	1 to 1	SSD	WP_002887955.1	1 to 1	SSD	WP_008807497.1	1 to 1	SSD	WP_002887955.1
16128010	b0016	NP_414557.1	IS186 transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128012	b0018	NP_414559.1	regulatory protein for HokC, overlaps CDS of hokC	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128013	b0019	NP_414560.1	sodium-proton antiporter	1 to 1	SSD	YP_005225026	1 to 1	SSD	WP_004192071.1	0	N/A		1 to 1	SSD	WP_004192071.1	1 to 1	SSD	WP_004192071.1	1 to 1	SSD	WP_008807496.1	1 to 1	SSD	WP_032422035.1
16128014	b0020	NP_414561.1	DNA-binding transcriptional activator	1 to 1	SSD	YP_005225027	1 to 1	SSD	WP_002887961.1	0	N/A		1 to 1	SSD	WP_002887961.1	1 to 1	SSD	WP_002887961.1	1 to 1	SSD	WP_008807495.1	1 to 1	SSD	WP_002887961.1
16128015	b0021	NP_414562.1	IS1 transposase B	1 to 6	RBB	YP_005229449	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
