Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession
16127995	b0001	NP_414542.1	thr operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A	
16127996	b0002	NP_414543.1	fused aspartokinase I and homoserine dehydrogenase I	2 to 1	RBB	WP_014569939.1;WP_014568951.1	1 to 2	SSD	WP_012743554.1	1 to 1	RBB	WP_005848849.1	1 to 2	RBB	WP_012738644.1
16127997	b0003	NP_414544.1	homoserine kinase	1 to 1	RBB	WP_014569936.1	0	N/A		0	N/A		0	N/A	
16127998	b0004	NP_414545.1	threonine synthase	1 to 1	RBB	WP_014569937.1	1 to 1	RBB	WP_012742830.1	1 to 1	RBB	WP_011965425.1	1 to 1	RBB	WP_012739594.1
16127999	b0005	NP_414546.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128000	b0006	NP_414547.1	conserved protein, UPF0246 family	1 to 1	RBB	WP_014569882.1	1 to 1	RBB	WP_012742085.1	1 to 1	RBB	WP_005840177.1	0	N/A	
16128001	b0007	NP_414548.1	predicted transporter	0	N/A		2 to 1	RBB	WP_012743927.1;WP_012743950.1	1 to 1	RBB	WP_005839028.1	1 to 1	RBB	WP_012739703.1
16128002	b0008	NP_414549.1	transaldolase B	0	N/A		0	N/A		0	N/A		0	N/A	
16128003	b0009	NP_414550.1	molybdochelatase incorporating molybdenum into molybdopterin	0	N/A		1 to 1	RBB	WP_012743921.1	0	N/A		0	N/A	
16128004	b0010	NP_414551.1	inner membrane protein, Grp1_Fun34_YaaH family	0	N/A		0	N/A		0	N/A		0	N/A	
16128005	b0011	NP_414552.1	conserved protein, UPF0174 family	0	N/A		0	N/A		0	N/A		0	N/A	
16128007	b0013	NP_414554.1	conserved protein, UPF0412 family	0	N/A		0	N/A		0	N/A		0	N/A	
16128008	b0014	NP_414555.1	chaperone Hsp70, co-chaperone with DnaJ	1 to 1	RBB	WP_005684295.1	2 to 1	RBB	WP_012742747.1;WP_012740949.1	1 to 1	SSD	WP_005846379.1	2 to 1	RBB	WP_041688021.1;WP_012739590.1
16128009	b0015	NP_414556.1	chaperone Hsp40, co-chaperone with DnaK	1 to 1	RBB	WP_005684294.1	1 to 1	SSD	YP_002937782	1 to 1	SSD	WP_005846209.1	1 to 1	RBB	WP_012739589.1
16128010	b0016	NP_414557.1	IS186 transposase	0	N/A		0	N/A		0	N/A		0	N/A	
16128012	b0018	NP_414559.1	regulatory protein for HokC, overlaps CDS of hokC	0	N/A		0	N/A		0	N/A		0	N/A	
16128013	b0019	NP_414560.1	sodium-proton antiporter	0	N/A		0	N/A		1 to 1	RBB	WP_007846505.1	0	N/A	
16128014	b0020	NP_414561.1	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A		0	N/A	
16128015	b0021	NP_414562.1	IS1 transposase B	0	N/A		0	N/A		0	N/A		0	N/A	
16128016	b0022	NP_414563.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A	
16128017	b0023	NP_414564.1	30S ribosomal subunit protein S20	1 to 1	RBB	WP_005685641.1	1 to 1	RBB	WP_022293179.1	1 to 1	RBB	WP_005838940.1	1 to 1	RBB	WP_041688124.1
16128018	b0024	NP_414565.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128019	b0025	NP_414566.1	bifunctional riboflavin kinase/FAD synthetase	1 to 1	RBB	WP_005684300.1	1 to 1	RBB	WP_012742779.1	1 to 1	RBB	WP_011965130.1	1 to 1	RBB	WP_012739136.1
16128020	b0026	NP_414567.1	isoleucyl-tRNA synthetase	1 to 1	RBB	WP_014569592.1	1 to 1	SSD	WP_012741916.1	1 to 1	SSD	WP_012055528.1	1 to 1	RBB	WP_041688344.1
16128021	b0027	NP_414568.1	prolipoprotein signal peptidase (signal peptidase II)	1 to 1	RBB	WP_005685864.1	1 to 1	RBB	WP_012742574.1	0	N/A		1 to 1	RBB	WP_012739385.1
16128022	b0028	NP_414569.1	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	0	N/A		0	N/A		0	N/A		0	N/A	
16128023	b0029	NP_414570.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	0	N/A		1 to 1	RBB	WP_012742479.1	1 to 1	RBB	WP_005845847.1	1 to 1	RBB	WP_012739166.1
16128024	b0030	NP_414571.1	ribonucleoside hydrolase 3	0	N/A		0	N/A		0	N/A		0	N/A	
16128025	b0031	NP_414572.1	dihydrodipicolinate reductase	1 to 1	RBB	WP_014568946.1	1 to 1	SSD	WP_012743356.1	1 to 1	SSD	WP_005849815.1	1 to 1	RBB	WP_041688219.1
16128026	b0032	NP_414573.1	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	1 to 1	RBB	WP_005689380.1	1 to 1	SSD	WP_012741633.1	1 to 1	SSD	WP_005839651.1	0	N/A	
16128027	b0033	NP_414574.1	carbamoyl-phosphate synthase large subunit	1 to 1	RBB	WP_005685853.1	1 to 1	SSD	WP_012741634.1	2 to 1	SSD	WP_005840171.1;WP_005851444.1	0	N/A	
90111079	b0034	NP_414576.4	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A		0	N/A	
90111080	b0035	NP_414577.2	stimulator of CaiD and CaiB enzyme activities	0	N/A		0	N/A		0	N/A		0	N/A	
221800779	b0036	NP_414578.2	carnitinyl-CoA dehydratase	0	N/A		0	N/A		0	N/A		0	N/A	
221800780	b0037	NP_414579.4	probable crotonobetaine/carnitine-CoA ligase	1 to 2	RBB	WP_014570113.1	1 to 3	RBB	WP_012741892.1	0	N/A		0	N/A	
16128032	b0038	NP_414580.1	crotonobetainyl CoA:carnitine CoA transferase	0	N/A		0	N/A		0	N/A		0	N/A	
16128033	b0039	NP_414581.1	crotonobetaine reductase subunit II, FAD-binding	0	N/A		1 to 2	RBB	WP_012741637.1	1 to 2	RBB	WP_005840641.1	0	N/A	
16128034	b0040	NP_414582.1	predicted transporter	0	N/A		1 to 3	RBB	WP_012743425.1	0	N/A		0	N/A	
90111081	b0041	NP_414583.2	predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction	0	N/A		1 to 2	RBB	WP_012741638.1	1 to 2	RBB	WP_005840635.1	0	N/A	
16128036	b0042	NP_414584.1	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	0	N/A		1 to 2	RBB	WP_015569027.1	1 to 2	RBB	WP_005840637.1	0	N/A	
16128037	b0043	NP_414585.1	predicted oxidoreductase with FAD/NAD(P)-binding domain	0	N/A		0	N/A		0	N/A		0	N/A	
16128038	b0044	NP_414586.1	predicted 4Fe-4S ferredoxin-type protein	0	N/A		0	N/A		0	N/A		0	N/A	
16128039	b0045	NP_414587.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16128040	b0046	NP_414588.1	flavoprotein subunit for the KefC potassium efflux system	1 to 2	RBB	WP_014569255.1	0	N/A		0	N/A		0	N/A	
16128041	b0047	NP_414589.1	potassium:proton antiporter	1 to 3	RBB	WP_014569297.1	0	N/A		0	N/A		0	N/A	
16128042	b0048	NP_414590.1	dihydrofolate reductase	1 to 1	RBB	WP_014569635.1	1 to 1	Borderline-SSD	WP_012742108.1	1 to 1	SSD	WP_005845866.1	1 to 1	RBB	WP_012740003.1
16128043	b0049	NP_414591.1	diadenosine tetraphosphatase	0	N/A		0	N/A		0	N/A		0	N/A	
16128044	b0050	NP_414592.1	protein associated with Co2+ and Mg2+ efflux	0	N/A		0	N/A		0	N/A		0	N/A	
16128045	b0051	NP_414593.1	16S rRNA dimethyladenosine transferase, SAM-dependent	1 to 1	RBB	WP_005685239.1	1 to 1	SSD	WP_012741167.1	1 to 1	SSD	WP_005849048.1	1 to 1	RBB	WP_041688852.1
16128046	b0052	NP_414594.1	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	0	N/A		1 to 1	RBB	WP_012742064.1	1 to 1	RBB	WP_005847333.1	0	N/A	
16128047	b0053	NP_414595.1	peptidyl-prolyl cis-trans isomerase (PPIase)	1 to 2	RBB	WP_005689802.1	0	N/A		1 to 1	RBB	WP_008781977.1	0	N/A	
16128048	b0054	NP_414596.1	LPS assembly OM complex LptDE, beta-barrel component	0	N/A		0	N/A		0	N/A		0	N/A	
16128049	b0055	NP_414597.1	DnaJ-like protein, membrane anchored	0	N/A		0	N/A		1 to 1	RBB	WP_005842987.1	0	N/A	
16128052	b0058	NP_414600.1	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	0	N/A		0	N/A		1 to 1	RBB	WP_005842137.1	0	N/A	
16128053	b0059	NP_414601.1	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	0	N/A		0	N/A		1 to 1	SSD	WP_012055870.1	0	N/A	
16128054	b0060	NP_414602.1	DNA polymerase II	0	N/A		0	N/A		0	N/A		0	N/A	
16128055	b0061	NP_414603.1	L-ribulose-5-phosphate 4-epimerase	1 to 3	RBB	WP_014571689.1	0	N/A		0	N/A		0	N/A	
16128056	b0062	NP_414604.1	L-arabinose isomerase	0	N/A		0	N/A		1 to 1	RBB	WP_011965559.1	0	N/A	
16128057	b0063	NP_414605.1	L-ribulokinase	0	N/A		0	N/A		0	N/A		0	N/A	
16128058	b0064	NP_414606.1	DNA-binding transcriptional dual regulator	0	N/A		1 to 1	RBB	WP_012742789.1	1 to 1	RBB	WP_005843580.1	0	N/A	
16128059	b0065	NP_414607.1	inner membrane protein, SNARE_assoc family	0	N/A		0	N/A		0	N/A		0	N/A	
16128060	b0066	NP_414608.1	thiamin transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16128061	b0067	NP_414609.1	fused thiamin transporter subunits of ABC superfamily: membrane components	0	N/A		0	N/A		0	N/A		0	N/A	
16128062	b0068	NP_414610.1	thiamin transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16128063	b0069	NP_414611.1	transcriptional DNA-binding transcriptional activator of sgrS sRNA	0	N/A		0	N/A		0	N/A		0	N/A	
49175994	b0070	YP_025293.1	broad specificity sugar efflux system	0	N/A		0	N/A		0	N/A		0	N/A	
16128065	b0071	NP_414613.1	3-isopropylmalate dehydratase small subunit	0	N/A		1 to 1	SSD	WP_012742833.1	1 to 1	SSD	WP_005848913.1	0	N/A	
16128066	b0072	NP_414614.1	3-isopropylmalate dehydratase large subunit	0	N/A		1 to 1	RBB	WP_012742834.1	1 to 1	SSD	WP_005840840.1	2 to 1	RBB	WP_041688659.1;WP_012739596.1
90111082	b0073	NP_414615.4	3-isopropylmalate dehydrogenase, NAD(+)-dependent	0	N/A		1 to 1	RBB	WP_012742719.1	1 to 1	RBB	WP_005840846.1	1 to 1	RBB	WP_012739005.1
16128068	b0074	NP_414616.1	2-isopropylmalate synthase	0	N/A		1 to 1	RBB	WP_012743160.1	1 to 1	SSD	WP_005840837.1	1 to 1	RBB	WP_012739459.1
