Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession
397671779	RVBD_0001	WP_003400253.1	chromosomal replication initiator protein dnaA	1 to 1	RBB	WP_004151534.1	1 to 1	Borderline-SSD	WP_012540254.1	1 to 1	RBB	WP_004151534.1	1 to 1	RBB	NP_418157.1	1 to 1	RBB	WP_004151534.1	1 to 1	Borderline-SSD	WP_004151534.1	1 to 1	RBB	YP_005229578
397671780	RVBD_0002	WP_003400271.1	DNA polymerase III subunit beta	1 to 1	RBB	WP_004145090.1	1 to 1	SSD	WP_008806743.1	1 to 1	RBB	WP_004145090.1	1 to 1	RBB	NP_418156.1	1 to 1	RBB	WP_004145090.1	1 to 1	SSD	WP_004145090.1	1 to 1	RBB	YP_005229577
397671781	RVBD_0003	WP_003912365.1	DNA replication and repair protein RecF	1 to 1	RBB	WP_004150293.1	1 to 1	SSD	WP_008806744.1	1 to 1	RBB	WP_004151532.1	1 to 1	RBB	NP_418155.1	1 to 1	RBB	WP_004901590.1	1 to 1	SSD	WP_004150293.1	1 to 1	RBB	YP_005229576
397671782	RVBD_0004	WP_003899769.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108322	RVBD_0005	WP_003917863.1	DNA gyrase subunit B	1 to 1	SSD	WP_004173845.1	1 to 1	SSD	WP_012540255.1	1 to 1	SSD	WP_004173845.1	1 to 1	RBB	YP_026241.1	1 to 1	RBB	WP_014599290.1	1 to 1	SSD	WP_004173845.1	1 to 1	SSD	YP_005229575
397671784	RVBD_0006	WP_003917265.1	DNA gyrase subunit A	1 to 1	SSD	WP_014907173.1	1 to 1	SSD	WP_008803974.1	1 to 1	SSD	WP_015958750.1	1 to 1	RBB	NP_416734.1	1 to 1	RBB	WP_004184961.1	1 to 1	SSD	WP_004140833.1	1 to 1	SSD	YP_005228006
397671785	RVBD_0007	WP_003400291.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671786	RVBD_0007Ac	YP_006513320	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671787	RVBD_0007Bc	YP_006513321	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671788	RVBD_0008c	WP_003917266.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671789	RVBD_0009	WP_003400321.1	peptidyl-prolyl cis-trans isomerase A	1 to 1	SimNSSD	WP_004151319.1	1 to 1	RBB	WP_008805471.1	1 to 1	RBB	WP_004151319.1	1 to 1	RBB	NP_415058.1	1 to 1	RBB	WP_004151319.1	1 to 1	RBB	WP_004151319.1	1 to 1	RBB	YP_005225530
397671790	RVBD_0010c	WP_003899772.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671791	RVBD_0011c	WP_003400344.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671792	RVBD_0012	WP_003917864.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671793	RVBD_0013	WP_003899773.1	anthranilate synthase component 2	1 to 1	SSD	WP_002920229.1	1 to 1	RBB	WP_012540425.1	1 to 1	SSD	WP_002920229.1	1 to 1	RBB	NP_417819.1	1 to 1	RBB	WP_002920229.1	1 to 1	RBB	WP_002920229.1	1 to 1	SSD	YP_005229197
