Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16127996	b0002	NP_414543.1	fused aspartokinase I and homoserine dehydrogenase I	170532	Mycobacterium tuberculosis H37Rv	397675666	RVBD_3709c	WP_003419828.1	aspartokinase	2	b3940[fused aspartokinase II/homoserine dehydrogenase II];b4024[aspartokinase III]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128002	b0008	NP_414549.1	transaldolase B	170532	Mycobacterium tuberculosis H37Rv	397673296	RVBD_1448c	WP_003912809.1	transaldolase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128003	b0009	NP_414550.1	molybdochelatase incorporating molybdenum into molybdopterin	170532	Mycobacterium tuberculosis H37Rv	397672681	RVBD_0865	WP_003404549.1	molybdenum cofactor synthesis domain-containing protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128008	b0014	NP_414555.1	chaperone Hsp70, co-chaperone with DnaJ	170532	Mycobacterium tuberculosis H37Rv	397672141	RVBD_0350	WP_003401814.1	chaperone dnaK				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128009	b0015	NP_414556.1	chaperone Hsp40, co-chaperone with DnaK	170532	Mycobacterium tuberculosis H37Rv	397672143	RVBD_0352	WP_003401821.1	chaperone dnaJ 1				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128017	b0023	NP_414564.1	30S ribosomal subunit protein S20	170532	Mycobacterium tuberculosis H37Rv	397674313	RVBD_2412	WP_003899314.1	30S ribosomal protein S20				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128019	b0025	NP_414566.1	bifunctional riboflavin kinase/FAD synthetase	170532	Mycobacterium tuberculosis H37Rv	397674697	RVBD_2786c	WP_003911989.1	riboflavin biosynthesis protein RibF				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128020	b0026	NP_414567.1	isoleucyl-tRNA synthetase	170532	Mycobacterium tuberculosis H37Rv	397673389	RVBD_1536	WP_003407714.1	isoleucyl-tRNA synthetase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128023	b0029	NP_414570.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	170532	Mycobacterium tuberculosis H37Rv	397672944	RVBD_1110	WP_003405853.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 1				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16128024	b0030	NP_414571.1	ribonucleoside hydrolase 3	170532	Mycobacterium tuberculosis H37Rv	397675342	RVBD_3393	WP_003417946.1	purine nucleosidase				
