Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession
397671779	RVBD_0001	WP_003400253.1	chromosomal replication initiator protein dnaA	1 to 1	SSD	WP_014845165.1	1 to 1	RBB	WP_014850902.1	1 to 1	RBB	NP_742180.1	1 to 1	RBB	WP_024087935.1	1 to 1	SSD	WP_034080764.1	1 to 1	SSD	WP_041025171.1	1 to 1	SSD	WP_003109151.1	1 to 1	SSD	WP_041772768.1	1 to 1	RBB	NP_274897.1	1 to 1	RBB	YP_207186.1	1 to 1	SSD	WP_003109151.1	1 to 1	Borderline-SSD	WP_041628961.1
397671780	RVBD_0002	WP_003400271.1	DNA polymerase III subunit beta	1 to 1	SSD	WP_014845166.1	1 to 1	RBB	WP_014850903.1	1 to 1	RBB	NP_742181.1	1 to 1	RBB	WP_003260019.1	1 to 1	SSD	WP_011979038.1	1 to 1	SSD	WP_003097262.1	1 to 1	SSD	WP_003097262.1	1 to 1	SSD	WP_003246702.1	1 to 1	RBB	NP_274896.1	1 to 1	RBB	YP_207187.1	1 to 1	SSD	WP_003097262.1	1 to 1	SSD	WP_012730689.1
397671781	RVBD_0003	WP_003912365.1	DNA replication and repair protein RecF	1 to 1	SSD	WP_014845168.1	1 to 1	RBB	WP_014850904.1	1 to 1	RBB	NP_742182.1	1 to 1	RBB	WP_003260018.1	1 to 1	SSD	WP_003150814.1	1 to 1	SSD	WP_003118474.1	1 to 1	SSD	WP_003097265.1	1 to 1	SSD	WP_011920364.1	0	N/A		0	N/A		1 to 1	SSD	WP_003097265.1	1 to 1	SSD	WP_012730690.1
397671782	RVBD_0004	WP_003899769.1	hypothetical protein	1 to 1	RBB	WP_014845169.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_041628962.1
561108322	RVBD_0005	WP_003917863.1	DNA gyrase subunit B	1 to 1	SSD	WP_014845174.1	1 to 1	SSD	WP_014850905.1	1 to 1	RBB	NP_742183.1	1 to 1	RBB	WP_013970249.1	1 to 1	SSD	WP_011979039.1	1 to 1	Borderline-SSD	WP_003097268.1	1 to 1	Borderline-SSD	WP_003097268.1	1 to 1	SSD	WP_003246706.1	1 to 1	SSD	NP_273269.1	1 to 1	SSD	YP_208803.1	1 to 1	Borderline-SSD	WP_003097268.1	1 to 1	SSD	WP_012730692.1
397671784	RVBD_0006	WP_003917265.1	DNA gyrase subunit A	1 to 1	SSD	WP_014845175.1	1 to 1	SSD	WP_014853147.1	1 to 1	RBB	NP_743923.1	1 to 1	RBB	WP_013971451.1	1 to 1	SSD	WP_012075019.1	1 to 1	SSD	WP_014833928.1	1 to 1	SSD	WP_003116419.1	1 to 1	SSD	WP_012018325.1	1 to 1	SSD	NP_274400.1	1 to 1	SSD	YP_207769.1	1 to 1	SSD	WP_012613862.1	1 to 1	SSD	WP_012730710.1
397671785	RVBD_0007	WP_003400291.1	hypothetical protein	1 to 1	RBB	WP_041696907.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671786	RVBD_0007Ac	YP_006513320	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671787	RVBD_0007Bc	YP_006513321	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397671788	RVBD_0008c	WP_003917266.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
