Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Staphylococcus aureus subsp. aureus str. Newman - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus str. Newman - ortholuge status	Staphylococcus aureus subsp. aureus str. Newman - ortholog NCBI RefSeq accession	Bacillus subtilis subsp. subtilis str. 168 - ortholog count (reference : comparison)	Bacillus subtilis subsp. subtilis str. 168 - ortholuge status	Bacillus subtilis subsp. subtilis str. 168 - ortholog NCBI RefSeq accession	Streptococcus pneumoniae D39 - ortholog count (reference : comparison)	Streptococcus pneumoniae D39 - ortholuge status	Streptococcus pneumoniae D39 - ortholog NCBI RefSeq accession
397671779	RVBD_0001	WP_003400253.1	chromosomal replication initiator protein dnaA	1 to 1	RBB	WP_001290433.1	1 to 1	RBB	NP_387882.1	1 to 1	RBB	YP_815417.1
397671780	RVBD_0002	WP_003400271.1	DNA polymerase III subunit beta	1 to 1	RBB	WP_000969811.1	1 to 1	RBB	NP_387883.1	1 to 1	RBB	YP_815419.1
397671781	RVBD_0003	WP_003912365.1	DNA replication and repair protein RecF	1 to 1	RBB	WP_000775113.1	1 to 1	RBB	NP_387885.1	1 to 1	RBB	YP_817437.1
397671782	RVBD_0004	WP_003899769.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
561108322	RVBD_0005	WP_003917863.1	DNA gyrase subunit B	1 to 1	RBB	WP_000255586.1	1 to 2	RBB	NP_387887.1;NP_389691.2	1 to 1	RBB	YP_816203.1
397671784	RVBD_0006	WP_003917265.1	DNA gyrase subunit A	1 to 1	RBB	WP_000819088.1	1 to 1	SSD	NP_387888.1	1 to 1	RBB	YP_816548.1
397671785	RVBD_0007	WP_003400291.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671786	RVBD_0007Ac	YP_006513320	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671787	RVBD_0007Bc	YP_006513321	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671788	RVBD_0008c	WP_003917266.1	membrane protein	0	N/A		0	N/A		0	N/A	
397671789	RVBD_0009	WP_003400321.1	peptidyl-prolyl cis-trans isomerase A	1 to 1	RBB	WP_000035058.1	1 to 1	Non-SSD	NP_390217.1	1 to 1	RBB	YP_816827.1
397671790	RVBD_0010c	WP_003899772.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671791	RVBD_0011c	WP_003400344.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671792	RVBD_0012	WP_003917864.1	hypothetical protein	0	N/A		2 to 1	RBB	NP_389408.2	0	N/A	
397671793	RVBD_0013	WP_003899773.1	anthranilate synthase component 2	1 to 2	RBB	WP_000604514.1;WP_000604817.1	1 to 1	SSD	NP_387956.1	1 to 1	RBB	YP_817053.1
397671794	RVBD_0014c	WP_003400356.1	serine/threonine-protein kinase pknB	3 to 1	RBB	WP_000579564.1	1 to 1	SSD	NP_389459.1	1 to 1	RBB	YP_816995.1
397671795	RVBD_0015c	WP_003400358.1	serine/threonine protein kinase	3 to 1	RBB	WP_000579564.1	0	N/A		0	N/A	
397671796	RVBD_0016c	WP_003899775.1	penicillin-binding protein A	0	N/A		1 to 1	RBB	NP_388295.1	0	N/A	
397671797	RVBD_0017c	WP_003400364.1	cell division protein FtsW	0	N/A		0	N/A		1 to 2	RBB	YP_816200.1;YP_816429.1
397671798	RVBD_0018c	WP_003912367.1	PP2C-family Ser/Thr phosphatase	1 to 1	RBB	WP_000888494.1	1 to 1	SSD	NP_389458.1	1 to 1	RBB	YP_816996.1
397671799	RVBD_0019c	WP_003400373.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671800	RVBD_0020c	WP_003912368.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671801	RVBD_0021c	WP_003899778.1	nitronate monooxygenase	0	N/A		0	N/A		0	N/A	
397671802	RVBD_0022c	WP_003400388.1	transcriptional regulator whib-like whiB5	0	N/A		0	N/A		0	N/A	
397671803	RVBD_0023	WP_003400391.1	transcriptional regulator	0	N/A		0	N/A		0	N/A	
397671804	RVBD_0024	WP_003400393.1	secreted protein	0	N/A		0	N/A		0	N/A	
397671805	RVBD_0025	WP_003400395.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671806	RVBD_0026	WP_003901770.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671807	RVBD_0027	WP_003400401.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671808	RVBD_0028	WP_003400405.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671809	RVBD_0029	WP_003400411.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671810	RVBD_0030	WP_003400413.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671811	RVBD_0031	WP_003900791.1	transposase	0	N/A		0	N/A		0	N/A	
397671812	RVBD_0032	WP_003905217.1	8-amino-7-oxononanoate synthase	1 to 1	RBB	WP_000250824.1	1 to 2	RBB	NP_389582.1;NP_390900.1	0	N/A	
397671813	RVBD_0033	WP_003400418.1	acyl carrier protein	0	N/A		0	N/A		0	N/A	
397671814	RVBD_0034	WP_003400421.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671815	RVBD_0035	WP_003400425.1	fatty-acid-CoA ligase FadD34	0	N/A		0	N/A		0	N/A	
397671816	RVBD_0036c	WP_003400427.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671817	RVBD_0037c	WP_003912503.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671818	RVBD_0038	WP_003901777.1	transcriptional regulator	0	N/A		0	N/A		0	N/A	
397671819	RVBD_0039c	WP_003907179.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671820	RVBD_0040c	WP_003900793.1	secreted proline rich protein mtc28	0	N/A		0	N/A		0	N/A	
397671821	RVBD_0041	WP_003900794.1	leucyl-tRNA synthetase	1 to 1	RBB	WP_001108732.1	1 to 1	SSD	NP_390910.1	1 to 1	RBB	YP_815756.1
397671822	RVBD_0042c	WP_003912416.1	MarR family transcriptional regulator	1 to 1	RBB	WP_001283444.1	0	N/A		0	N/A	
397671823	RVBD_0043c	WP_003899786.1	GntR family transcriptional regulator	0	N/A		0	N/A		0	N/A	
397671824	RVBD_0044c	WP_003400486.1	oxidoreductase	0	N/A		0	N/A		0	N/A	
397671825	RVBD_0045c	WP_003400489.1	hydrolase	0	N/A		0	N/A		0	N/A	
397671826	RVBD_0046c	WP_003902822.1	inositol-3-phosphate synthase	0	N/A		0	N/A		0	N/A	
397671827	RVBD_0047c	WP_003899787.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671828	RVBD_0048c	WP_003907183.1	membrane protein	0	N/A		0	N/A		0	N/A	
397671829	RVBD_0049	WP_003400504.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671830	RVBD_0050	WP_003400507.1	peptidoglycan glycosyltransferase	1 to 1	RBB	WP_000138351.1	1 to 4	RBB	NP_388892.2;NP_390113.1;NP_391027.2;NP_391631.2	2 to 3	RBB	YP_815850.1;YP_817229.1;YP_817313.1
397671831	RVBD_0051	WP_003400514.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
561108323	RVBD_0052	WP_003912418.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671833	RVBD_0053	WP_003400520.1	30S ribosomal protein S6	1 to 1	RBB	WP_001261460.1	1 to 1	RBB	NP_391971.1	1 to 1	RBB	YP_816830.1
397671834	RVBD_0054	WP_003400534.1	single-stranded DNA-binding protein	1 to 2	RBB	WP_000934799.1;WP_000934764.1	1 to 2	RBB	NP_391512.2;NP_391970.1	1 to 2	RBB	YP_816829.1;YP_817137.1
397671835	RVBD_0055	WP_003400540.1	30S ribosomal protein S18 1	1 to 1	RBB	WP_000897044.1	1 to 1	RBB	NP_391969.2	1 to 1	RBB	YP_816828.1
397671836	RVBD_0056	WP_003400543.1	50S ribosomal protein L9	1 to 1	RBB	WP_000864305.1	1 to 1	RBB	NP_391930.1	1 to 1	RBB	YP_817416.1
397671837	RVBD_0057	WP_003900797.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671838	RVBD_0058	WP_003916208.1	replicative DNA helicase	1 to 1	RBB	WP_000375647.1	1 to 1	RBB	NP_391924.2	1 to 1	RBB	YP_817415.1
397671839	RVBD_0059	WP_003400548.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671840	RVBD_0060	WP_003400551.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671841	RVBD_0061Ac	YP_006513375	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671842	RVBD_0062	WP_015456091.1	endoglucanase	0	N/A		0	N/A		0	N/A	
397671843	RVBD_0063	WP_003901784.1	oxidoreductase	0	N/A		3 to 2	RBB	NP_388760.2;NP_391332.1	0	N/A	
397671844	RVBD_0064	WP_009937016.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397671845	RVBD_0064A	WP_003400577.1	antitoxin	0	N/A		0	N/A		0	N/A	
397671846	RVBD_0065	WP_003400580.1	toxin	0	N/A		0	N/A		0	N/A	
397671847	RVBD_0066c	WP_003899797.1	isocitrate dehydrogenase	0	N/A		0	N/A		0	N/A	
397671848	RVBD_0067c	WP_003400591.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A	
397671849	RVBD_0068	WP_003912371.1	oxidoreductase	0	N/A		0	N/A		0	N/A	
